,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,trip
40,2504527,,,11/17/22(Thu)07:23:31,Anonymous,Wood gasifier,Biomass generators and Wood gasification May be the answer to a lot of problems we’re about to face with looming energy shortages.,BD719E4F-8C5F-495B-B5B3-2ADBE6848CC3,.jpg,474,292,250,154,1668687811114144,1668687811,0xAgEO4QUlkkydjbTRoswg==,27412,0,,wood-gasifier,132,8,"[{'no': 2520576, 'now': '12/12/22(Mon)17:02:08', 'name': 'Anonymous', 'com': '<a href=""#p2520428"" class=""quotelink"">&gt;&gt;2520428</a><br><span class=""quote"">&gt;My primary concern with this system is refueling.</span><br>In <a href=""#p2518522"" class=""quotelink"">&gt;&gt;2518522</a> fuel is entered into the top container for tar filtering, and then drops down through the chute into the main chamber.<br>You don&#039;t want to stop the engine and you certainly don&#039;t want to vent CO during refuelling.', 'time': 1670882528, 'resto': 2504527}, {'no': 2520644, 'now': '12/12/22(Mon)19:24:36', 'name': 'Anonymous', 'com': '<a href=""#p2520274"" class=""quotelink"">&gt;&gt;2520274</a><br><span class=""quote"">&gt;Could the initial fireball be from wood gas?</span><br>Yes, the burning gas is what creates the visible flame.<br><br><a href=""#p2519623"" class=""quotelink"">&gt;&gt;2519623</a><br><span class=""quote"">&gt;trusting zoomies with nookies</span><br><span class=""quote"">&gt;breaking backs with battery packs</span><br><br><a href=""#p2520428"" class=""quotelink"">&gt;&gt;2520428</a><br>You could potentially use jet nozzles to compress air in an open wood feed <a href=""#p2518559"" class=""quotelink"">&gt;&gt;2518559</a> does with the forge access port or some kind of air lock that drops in new wood.', 'time': 1670891076, 'resto': 2504527}, {'no': 2520769, 'now': '12/12/22(Mon)22:45:35', 'name': 'Anonymous', 'com': '<a href=""#p2520644"" class=""quotelink"">&gt;&gt;2520644</a><br><span class=""quote"">&gt;the burning gas is what creates the visible flame</span><br>If this highly flammable wood gas is just loitering behind my fuel hatch, doesn&#039;t that mean it&#039;s getting sucked out the chimney and not heating my home? This sounds like a huge inefficiency.<br><span class=""quote"">&gt;trusting zoomies</span><br>I would insist that cars with battery swap functionality be self-driving. I&#039;ve seen how zoomers and boomers alike drive, they cannot be trusted.', 'time': 1670903135, 'resto': 2504527}, {'no': 2520788, 'now': '12/12/22(Mon)23:09:37', 'name': 'Anonymous', 'com': '<a href=""#p2520428"" class=""quotelink"">&gt;&gt;2520428</a><br>Airlocks aren&#039;t that complicated, you just need two doors.<br><span class=""quote"">&gt;open outer door, combustion chamber is still sealed</span><br><span class=""quote"">&gt;put fuel in loading chamber</span><br><span class=""quote"">&gt;close outer door</span><br><span class=""quote"">&gt;open inner door</span><br><span class=""quote"">&gt;fuel falls into combustion chamber</span><br><span class=""quote"">&gt;close inner door</span><br><br>You can also use a second airlock to remove ash, or you can have one engine with two combustion chambers, so you can open one right up while the system runs on the other.', 'time': 1670904577, 'resto': 2504527}, {'no': 2520797, 'now': '12/12/22(Mon)23:37:01', 'name': 'Anonymous', 'com': '<a href=""#p2520769"" class=""quotelink"">&gt;&gt;2520769</a><br><span class=""quote"">&gt;If this highly flammable wood gas is just loitering behind my fuel hatch, doesn&#039;t that mean it&#039;s getting sucked out the chimney and not heating my home? This sounds like a huge inefficiency.</span><br>Yes.<br><br><span class=""quote"">&gt;I would insist that cars with battery swap functionality be self-driving.</span><br>There better be a proprietary quick disconnect system, otherwise I&#039;ll have to do a nut check.<br><br><a href=""#p2520644"" class=""quotelink"">&gt;&gt;2520644</a><br><a href=""#p2520788"" class=""quotelink"">&gt;&gt;2520788</a><br>Checked', 'time': 1670906221, 'resto': 2504527}]",1670906221,0.0,0.0,127.0,8.0,
41,2498029,,,11/06/22(Sun)20:15:25,Anonymous,,what tool scares you,stihl_324d,.jpg,1600,1200,250,187,1667783725953785,1667783725,F9hQ4txyMuMcX1A86jaE8A==,501668,0,,what-tool-scares-you,287,70,"[{'no': 2520505, 'now': '12/12/22(Mon)14:13:57', 'name': 'Anonymous', 'com': '<a href=""#p2511958"" class=""quotelink"">&gt;&gt;2511958</a><br><a href=""//boards.4channel.org/g/"" class=""quotelink"">&gt;&gt;&gt;/g/</a>', 'time': 1670872437, 'resto': 2498029}, {'no': 2520688, 'now': '12/12/22(Mon)20:48:24', 'name': 'Anonymous', 'com': '<a href=""#p2520439"" class=""quotelink"">&gt;&gt;2520439</a><br>Try and actually cut something larger and thicker than a chain link. You&#039;ll soon learn that they are slow and loud as fuck as i already mentioned... They are best for thin stuff and where you need the full depth of a blade to reach in and cut something that your abrasive disc won&#039;t reach.', 'time': 1670896104, 'resto': 2498029}, {'no': 2520736, 'now': '12/12/22(Mon)22:10:01', 'name': 'Anonymous', 'com': '<a href=""#p2520688"" class=""quotelink"">&gt;&gt;2520688</a><br><span class=""quote"">&gt;You&#039;ll soon learn that they are slow and loud as fuck as i already mentioned</span><br>I cut a 1&quot; mild steel round bar in about a minute.<br>It didn&#039;t seem louder than any other grinder attachments I&#039;ve used.', 'time': 1670901001, 'resto': 2498029}, {'no': 2520771, 'now': '12/12/22(Mon)22:48:09', 'name': 'Anonymous', 'com': 'Lost my right eye to one of these. Blade snapped, iris and retina got fucked. Still have the same eye and it moves, but it doesn&#039;t see shit. Looks like David Bowie on a glance. <br><br><span class=""quote"">&gt;inb4 wear your goggles</span><br>we all know you don&#039;t when you use an xacto', 'filename': 'retractable-utility-knife-385676046', 'ext': '.jpg', 'w': 1000, 'h': 670, 'tn_w': 125, 'tn_h': 83, 'tim': 1670903289399987, 'time': 1670903289, 'md5': 'zMn/VjLA28T2A8vuDZ8L/g==', 'fsize': 43725, 'resto': 2498029}, {'no': 2520794, 'now': '12/12/22(Mon)23:32:14', 'name': 'Anonymous', 'com': '<a href=""#p2520771"" class=""quotelink"">&gt;&gt;2520771</a><br>I use fixed blade knives, like a real man.', 'time': 1670905934, 'resto': 2498029}]",1670905934,0.0,0.0,282.0,69.0,
42,2511156,,,11/27/22(Sun)17:37:49,Anonymous,Stuff blue collar workers say,&#039;Suck it up buttercup&#039;<br>&#039;Rub some dirt on it&#039;<br>&#039;Walk it off&#039;<br>&#039;Real men dont need doctors&#039;,file,.png,1164,871,249,187,1669588669281302,1669588669,nlwuweQV3k7C99jnL2Xfvg==,1189459,0,,stuff-blue-collar-workers-say,159,12,"[{'no': 2520422, 'now': '12/12/22(Mon)11:48:03', 'name': 'Anonymous', 'com': '<a href=""#p2520421"" class=""quotelink"">&gt;&gt;2520421</a><br>Because tickets are 3x the fines<br>Profits', 'time': 1670863683, 'resto': 2511156}, {'no': 2520696, 'now': '12/12/22(Mon)20:58:19', 'name': 'Anonymous', 'com': '<a href=""#p2520160"" class=""quotelink"">&gt;&gt;2520160</a><br>Gives more space for better suspension geometry in the front, too.', 'time': 1670896699, 'resto': 2511156}, {'no': 2520700, 'now': '12/12/22(Mon)21:11:03', 'name': 'Anonymous', 'com': '<a href=""#p2511156"" class=""quotelink"">&gt;&gt;2511156</a><br>Ok but why are you black tho?', 'time': 1670897463, 'resto': 2511156}, {'no': 2520702, 'now': '12/12/22(Mon)21:13:04', 'name': 'Anonymous', 'com': '<a href=""#p2520422"" class=""quotelink"">&gt;&gt;2520422</a><br>that is actually a big part of it. We can get lower fees if we agree to ridiculously low speeds.<br><br>LIke if you want to work on that street we are gonna charge you a million dollars an hour for shutting down main street, but maybee we could do 800k if you let us drop the speed another 10.', 'time': 1670897584, 'resto': 2511156}, {'no': 2520787, 'now': '12/12/22(Mon)23:08:00', 'name': 'Anonymous', 'com': '<a href=""#p2520700"" class=""quotelink"">&gt;&gt;2520700</a><br>When a black mommy and black daddy love each other very much...', 'time': 1670904480, 'resto': 2511156}]",1670904480,0.0,0.0,154.0,12.0,
43,2519851,,,12/11/22(Sun)14:53:22,Anonymous,,hey /diy/ this is my cat rupert. I had a question related to a diy topic which is as follows;<br><br>does anyone have any experience putting a customised catflip into one of these type of doors? I looked online and i dont want to replace the whole door to get a cat flap model,1667267216943,.png,693,920,188,250,1670788402635674,1670788402,ypoJkoHmm/lUa7Yrnsyf/w==,659909,0,,hey-diy-this-is-my-cat-rupert-i-had-a-question,32,9,"[{'no': 2520205, 'now': '12/12/22(Mon)03:28:09', 'name': 'Anonymous', 'com': '<a href=""#p2519935"" class=""quotelink"">&gt;&gt;2519935</a><br><a href=""#p2520062"" class=""quotelink"">&gt;&gt;2520062</a><br><a href=""#p2520090"" class=""quotelink"">&gt;&gt;2520090</a><br><br>hi from rupert<br><br><a href=""#p2520056"" class=""quotelink"">&gt;&gt;2520056</a><br>thanks<br><br><a href=""#p2520088"" class=""quotelink"">&gt;&gt;2520088</a><br>he looks very cosy<br><br><a href=""#p2520181"" class=""quotelink"">&gt;&gt;2520181</a><br>lgbt', 'time': 1670833689, 'resto': 2519851}, {'no': 2520206, 'now': '12/12/22(Mon)03:28:52', 'name': 'Anonymous', 'com': '<a href=""#p2520205"" class=""quotelink"">&gt;&gt;2520205</a><br>forgot his picture', 'filename': '1642460837604', 'ext': '.jpg', 'w': 1460, 'h': 979, 'tn_w': 125, 'tn_h': 83, 'tim': 1670833732750576, 'time': 1670833732, 'md5': 'eGU8OOUAs6pquDWH6IQVnw==', 'fsize': 357891, 'resto': 2519851}, {'no': 2520219, 'now': '12/12/22(Mon)04:01:20', 'name': 'Anonymous', 'com': 'Don&#039;t let your cat outside. You will literally shorten its lifespan due to cars, asshole neighbors, and coyotes.', 'time': 1670835680, 'resto': 2519851}, {'no': 2520777, 'now': '12/12/22(Mon)22:57:53', 'name': 'Anonymous', 'com': '<a href=""#p2520206"" class=""quotelink"">&gt;&gt;2520206</a><br>I remembercwhen you first got Rupert, relatively speaking. You had daily Rupert updates on r9k for a while. Between you and Eric (who was sad he saw schemes trying to defraud him) r9k was briefly interesting again. Glad to see you and your kitty friend are enjoying life together', 'filename': '1645269141682', 'ext': '.jpg', 'w': 785, 'h': 764, 'tn_w': 125, 'tn_h': 121, 'tim': 1670903873275095, 'time': 1670903873, 'md5': '9y6Q7oGmhRnuZ7+6aHg4WQ==', 'fsize': 120489, 'resto': 2519851}, {'no': 2520782, 'now': '12/12/22(Mon)23:03:24', 'name': 'Anonymous', 'com': '<a href=""#p2519910"" class=""quotelink"">&gt;&gt;2519910</a><br>shut the fuck up. show more cats pls', 'time': 1670904204, 'resto': 2519851}]",1670904204,0.0,0.0,27.0,7.0,
44,2520749,,,12/12/22(Mon)22:20:31,Anonymous,,"What kind of insulation should I use? There&#039;s no heat and the sun never touches the back stairwell(pictured), so it&#039;s always freezing cold even when it&#039;s 90f out.<br><br>Or should I just remove the wall and have a balcony? I think it was that way before they &quot;renovated&quot; it, but they did a shit job and there&#039;s nails sticking inward along the wall, which is the main reason I want to put dry wall up, and figure might as well put insulation there too.",DSC00988,.jpg,2000,1500,250,187,1670901631305735,1670901631,gROEejizljWz8Ua0/fe7mA==,556803,0,,what-kind-of-insulation-should-i-use-theres-no,2,0,"[{'no': 2520778, 'now': '12/12/22(Mon)22:59:11', 'name': 'Anonymous', 'com': 'R38 backed. Bit expensive but the r30 you are not supposed to just put up with no foam vent. R38 you can. R13 for the walls with backer and just get a staple hammer. .25 inch staples. Super easy. Wear a mask and eye pro shit is ruthless.', 'time': 1670903951, 'resto': 2520749}, {'no': 2520780, 'now': '12/12/22(Mon)23:01:50', 'name': 'Anonymous', 'com': 'Also run your electric even if you don&#039;t want it now.... You will want it later and take pics of where you ran it.', 'time': 1670904110, 'resto': 2520749}]",1670904110,0.0,0.0,,,
45,2520665,,,12/12/22(Mon)20:09:50,Anonymous,,"I want to increase water pressure at my farm shack. It&#039;s got a small holding tank up behind it, the gravity pressure from there is poor. But, the intake to the tank is like a damn firehose, it comes from way up the hills. I tee off that for the garden hose already. Basically I plan to tee off that intake pipe again and bypass around the tank, with picrel to control pressure and just ease it up a little, and still have water store in the tank too.<br><br>My question is more about the house. Will there be some kind of warning signs if I start to put too much pressure into the house? What would show to hold off. I&#039;m thinking things like the shitty old toilet valve starting to leak or some sound of water hammer at the taps? I don&#039;t want to put too much stress on the house plumbing but I&#039;m pretty sure it can handle quite a bit more because at the moment the pressure is shit",ballvalve,.jpg,260,194,250,186,1670893790344479,1670893790,kqLosiHJstLC5viv+u7V7g==,5090,0,,i-want-to-increase-water-pressure-at-my-farm,11,1,"[{'no': 2520689, 'now': '12/12/22(Mon)20:49:05', 'name': 'Anonymous', 'com': '<a href=""#p2520686"" class=""quotelink"">&gt;&gt;2520686</a><br>well you can get a regulator for like 50 bucks. just make sure it can handle your input pressure and that it also can allow enough flow at your desired output pressure. They typically have a chart in the box. Which means you have to be sneaky and open the box in the store.', 'time': 1670896145, 'resto': 2520665}, {'no': 2520694, 'now': '12/12/22(Mon)20:55:54', 'name': 'Anonymous', 'com': '<a href=""#p2520689"" class=""quotelink"">&gt;&gt;2520689</a><br>Sounds like a plan thanks', 'time': 1670896554, 'resto': 2520665}, {'no': 2520737, 'now': '12/12/22(Mon)22:10:51', 'name': 'Anonymous', 'com': '<a href=""#p2520673"" class=""quotelink"">&gt;&gt;2520673</a><br>Problem with running a tube up is that it only gives you high pressure if you&#039;re not drawing any water out of it. As soon as you open the valve the tube will empty out and the pressure will rapidly drop until you&#039;ve just got a tank&#039;s worth of pressure again. The way to get continuous high pressure out of the system would be to move the entire tank to the top of the hill.', 'time': 1670901051, 'resto': 2520665}, {'no': 2520752, 'now': '12/12/22(Mon)22:26:18', 'name': 'Anonymous', 'com': '<a href=""#p2520686"" class=""quotelink"">&gt;&gt;2520686</a><br><span class=""quote"">&gt;But I just took a look at the water heater and it says max head 25ft fuck</span><br>The friction of the line itself will reduce the head pressure. You may not need to do anything.', 'time': 1670901978, 'resto': 2520665}, {'no': 2520779, 'now': '12/12/22(Mon)22:59:20', 'name': 'Anonymous', 'com': '<a href=""#p2520752"" class=""quotelink"">&gt;&gt;2520752</a><br>Friction losses only happen when there&#039;s water flowing through the system. If the flow stops downstream of the tank then your system becomes deadlocked and you reach hydrostatic pressure.', 'time': 1670903960, 'resto': 2520665}]",1670903960,0.0,0.0,6.0,1.0,
46,2519959,,,12/11/22(Sun)17:45:03,Anonymous,Michigan mouse trap,I need to make some guys. Give me your best bestest idears,85AF82BA-230E-4E4C-87A2-F09D091AF62F,.jpg,592,451,250,190,1670798703928558,1670798703,gslZceeDxgpmWKtCBOjGzw==,92924,0,,michigan-mouse-trap,12,0,"[{'no': 2520583, 'now': '12/12/22(Mon)17:07:22', 'name': 'Anonymous', 'com': 'Just put potatoes flakes in a dish and put them wherever you want the mice to disappear. Works flawless, they eat the flakes, get insanely dehydrated, run outside looking for water, then their stomach explodes and they die.', 'time': 1670882842, 'resto': 2519959}, {'no': 2520608, 'now': '12/12/22(Mon)18:03:11', 'name': 'Anonymous', 'com': '<a href=""#p2520542"" class=""quotelink"">&gt;&gt;2520542</a><br>Hmm, I wonder what their R-value would be.', 'time': 1670886191, 'resto': 2519959}, {'no': 2520631, 'now': '12/12/22(Mon)18:53:33', 'name': 'Anonymous', 'com': '<a href=""#p2520608"" class=""quotelink"">&gt;&gt;2520608</a><br>would that be a valid way of driving down property value in key areas?<br>Releasing a hoard of rats with a couple of days length life expentancy?', 'time': 1670889213, 'resto': 2519959}, {'no': 2520683, 'now': '12/12/22(Mon)20:42:16', 'name': 'Anonymous', 'com': '<a href=""#p2520631"" class=""quotelink"">&gt;&gt;2520631</a><br>A better way would be releasing a hoard of rats with a long life expectancy.', 'time': 1670895736, 'resto': 2519959}, {'no': 2520770, 'now': '12/12/22(Mon)22:46:49', 'name': 'Anonymous', 'com': '<a href=""#p2520032"" class=""quotelink"">&gt;&gt;2520032</a><br>Thank you Jesus for leading me to this thread. I&#039;ve written off 3 cars (Hyndai Accent, Ford Focus wagon and a Pontiac Vibe) due to mice. They never get in an trucks I&#039;ve owned, only cars', 'time': 1670903209, 'resto': 2519959}]",1670903209,0.0,0.0,7.0,0.0,
47,2519629,,,12/11/22(Sun)08:18:36,Anonymous,,is there a battery i can replace in this old toy?,battery,.png,546,440,250,201,1670764716616305,1670764716,vYmJ06zXUr9CPkv2ORvpog==,458249,0,,is-there-a-battery-i-can-replace-in-this-old-toy,8,1,"[{'no': 2519662, 'now': '12/11/22(Sun)09:21:22', 'name': 'Kevin Van Dam', 'com': '<a href=""#p2519649"" class=""quotelink"">&gt;&gt;2519649</a><br>Measure it. Looks like there’s 2 battery holders on top of that board? One in the foreground and one on the right. Battery gnomes probably stole the old ones. But they’re good gnomes, they keep leaky cells from destroying old stuff.', 'time': 1670768482, 'resto': 2519629, 'trip': '!ZNBx60Gj/k'}, {'no': 2520355, 'now': '12/12/22(Mon)09:39:44', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Old toy</span><br><span class=""quote"">&gt;Uses electricity</span><br>Do you even know what old means?', 'time': 1670855984, 'resto': 2519629}, {'no': 2520414, 'now': '12/12/22(Mon)11:41:44', 'name': 'Anonymous', 'com': 'A dildo that uses those batteries?', 'time': 1670863304, 'resto': 2519629}, {'no': 2520419, 'now': '12/12/22(Mon)11:45:54', 'name': 'Anonymous', 'com': '<a href=""#p2520355"" class=""quotelink"">&gt;&gt;2520355</a><br>do you?', 'filename': 'remember', 'ext': '.png', 'w': 1049, 'h': 791, 'tn_w': 125, 'tn_h': 94, 'tim': 1670863554157185, 'time': 1670863554, 'md5': 'SHVdtBZRrz1IVbNOhnxwcg==', 'fsize': 249139, 'resto': 2519629}, {'no': 2520767, 'now': '12/12/22(Mon)22:44:34', 'name': 'Anonymous', 'com': '<a href=""#p2519649"" class=""quotelink"">&gt;&gt;2519649</a><br>What I would do is actually go to a small business that sells either watches or toys and have them try a bunch of the little button batteries until they find the right one. I love quaint small business old timers they always seem to be fascinated with stuff like this.', 'time': 1670903074, 'resto': 2519629}]",1670903074,0.0,0.0,3.0,0.0,
48,2517243,,,12/07/22(Wed)13:18:30,Anonymous,/3DPG/,"Tasty microplastics edition<br><br>Last Thread<a href=""https://boards.4channel.org/diy/thread/2514198#bottom"" target=""_blank"">https://boards.4channel.org/diy/thr<wbr>ead/2514198#bottom</a>: <br><br>All the info you need about 3D-printing: https://pastebin.com/AKqpcyN5<br><span class=""quote"">&gt;Your print failed? Go to:</span><br>https://www.simplify3d.com/support/<wbr>print-quality-troubleshooting/<br><br>If that doesn&#039;t help you solve your print problems, please post:<br><span class=""quote"">&gt;A picture of the failed part</span><br><span class=""quote"">&gt;Printer make &amp; model</span><br><span class=""quote"">&gt;Filament type/brand</span><br><span class=""quote"">&gt;Slicer &amp; slicer settings</span><br><br><span class=""quote"">&gt;What printer should I buy? [Last updated 2022-11-19]</span><br>Under 250 USD: kingroon KP3L, Sovol sv01, Creality Ender 3 (v2), Anycubic Mega S<br>Under 500 USD: Qidi X-One2, Creality CR-10, Anycubic Vyper, Prusa Mini<br>Under 1000 USD: Prusa i3, Bambu Labs X1<br>Over 1000 USD: e3d toolchanger, Ultimaker, Qidi X-CF Pro, Build your own Voron, Rat Rig, Prusa XL (lol enjoy the wait)<br>SLA: Anycubic Photon, Elegoo Mars, Prusa SL1, Formlabs Form 3, Creality HALOT-ONE<br>Instead of buying a new printer, you could consider building your own: https://reprap.org/wiki/<br><br><span class=""quote"">&gt;Where can I get free things to print?</span><br>https://www.thingiverse.com/<br>https://thangs.com/<br>https://grabcad.com/<br>https://google.com/<br>https://printables.com/<br>https://www.yeggi.com/<br><br><span class=""quote"">&gt;What CAD software should I use?</span><br>Variants of professional parametric CAD programs such as Solidworks (lol paying for software), Fusion360, Inventor, Onshape, TinkerCAD, and AutoCAD may be free depending on your profession, level of piracy and definition of &#039;&#039;free&#039;&#039;.<br>Most anons use Fusion360, but some /g/oobers prefer OpenSCAD or FreeCAD. If you want to do mesh free-forming and modeling, Blender is alright. Also while not necessarily a design program, Meshmixer (free) can be extremely useful for tweaking models to print.<br><span class=""quote"">&gt;&gt;</span><br> Anonymous 12/02/22(Fri)18:47:26 No.2514206▶<a href=""/diy/thread/2514198#p2514284"" class=""quotelink"">&gt;&gt;2514284</a><br>File: not1.png (59 KB, 552x632)<br>59 KB<br>bad news boys",3dpg,.png,1024,1024,250,250,1670437110112686,1670437110,jHIwnsyBmQmm3i2ec/Twgw==,629831,0,,3dpg,263,71,"[{'no': 2520645, 'now': '12/12/22(Mon)19:26:01', 'name': 'Anonymous', 'com': '<a href=""#p2520636"" class=""quotelink"">&gt;&gt;2520636</a><br>The nozzle oozes while warming up, before it does its purge and starts to print. Then the purge often doesn&#039;t get the curls to stick to the bed.<br><br><a href=""#p2520640"" class=""quotelink"">&gt;&gt;2520640</a><br>PLA', 'time': 1670891161, 'resto': 2517243}, {'no': 2520649, 'now': '12/12/22(Mon)19:33:23', 'name': 'Anonymous', 'com': '<a href=""#p2520645"" class=""quotelink"">&gt;&gt;2520645</a><br>all nozzles ooze if they&#039;re loaded up and hot.<br>what i do is tell the extruder to go like -3mm. empties the chamber and it&#039;ll come back out while it does a purge line.', 'time': 1670891603, 'resto': 2517243}, {'no': 2520661, 'now': '12/12/22(Mon)20:02:15', 'name': 'Anonymous', 'com': '<a href=""#p2520639"" class=""quotelink"">&gt;&gt;2520639</a><br>It moves the water around the bucket so it washes the prints', 'time': 1670893335, 'resto': 2517243}, {'no': 2520670, 'now': '12/12/22(Mon)20:22:03', 'name': 'Anonymous', 'com': '<a href=""#p2520628"" class=""quotelink"">&gt;&gt;2520628</a><br>This is the best photo I could get, white material is difficult. It looks close to ideal to me, watching it from the top side as it was printing it didn&#039;t look to be dragging. Adhesion was really good and running my nail across it it&#039;s nearly as smooth as the top layer, some of which will be the texture of the build plate.', 'filename': '_DSC5957', 'ext': '.jpg', 'w': 1616, 'h': 1080, 'tn_w': 125, 'tn_h': 83, 'tim': 1670894523706454, 'time': 1670894523, 'md5': 'Ycn4wqgnYa7qfXXeBCX02Q==', 'fsize': 296134, 'resto': 2517243}, {'no': 2520760, 'now': '12/12/22(Mon)22:35:50', 'name': 'Anonymous', 'com': '<a href=""#p2520670"" class=""quotelink"">&gt;&gt;2520670</a><br>You can actually go a tiny bit lower. Try -0.02.<br>Basically you can see that the &quot;strings&quot; are still sort of circular. You want them squished against the glass so that they&#039;re flat with just a tiny ridge to the center.<br>But what you have now is okay, if you don&#039;t want to mess more with it. Make sure you remember to save your settings.', 'time': 1670902550, 'resto': 2517243}]",1670902550,0.0,0.0,258.0,70.0,
49,2520254,,,12/12/22(Mon)05:39:16,Anonymous,,"I&#039;ve got a dime sized hole in one of my ceramic floor tiles, what&#039;s a good way to patch this and match/blend the color?",PXL_20221212_103020822,.jpg,4032,3024,250,187,1670841556993174,1670841556,gQ0pHRIm9QluOrJ0iE8dig==,1688185,0,,ive-got-a-dime-sized-hole-in-one-of-my-ceramic,7,0,"[{'no': 2520347, 'now': '12/12/22(Mon)09:24:23', 'name': 'Anonymous', 'com': '<a href=""#p2520337"" class=""quotelink"">&gt;&gt;2520337</a><br> That should work fine. <br><br>My initial thought upon reading the thread title was some jb waterweld epoxy stick with some sort of coloring added to turn it from white to that beige color of the tile.', 'time': 1670855063, 'resto': 2520254}, {'no': 2520348, 'now': '12/12/22(Mon)09:25:23', 'name': 'Anonymous', 'com': 'Use bubble gum.', 'time': 1670855123, 'resto': 2520254}, {'no': 2520350, 'now': '12/12/22(Mon)09:26:10', 'name': 'Anonymous', 'com': '<a href=""#p2520348"" class=""quotelink"">&gt;&gt;2520348</a><br>I would if the tiles were black', 'time': 1670855170, 'resto': 2520254}, {'no': 2520413, 'now': '12/12/22(Mon)11:40:31', 'name': 'Anonymous', 'com': '<a href=""#p2520254"" class=""quotelink"">&gt;&gt;2520254</a><br>Stop playing with a 22 in moms house op', 'time': 1670863231, 'resto': 2520254}, {'no': 2520750, 'now': '12/12/22(Mon)22:24:16', 'name': 'Anonymous', 'com': 'https://www.youtube.com/watch?v=Lxu<wbr>1as6KGtA', 'time': 1670901856, 'resto': 2520254}]",1670901856,0.0,0.0,2.0,0.0,
50,2519164,,,12/10/22(Sat)16:22:46,Anonymous,,*pulls this out at the jobsite*,2095854_3,.jpg,1000,1000,250,250,1670707366093319,1670707366,oKtWwu8+aIOM++cnFbTmGg==,50965,0,,pulls-this-out-at-the-jobsite,19,3,"[{'no': 2520728, 'now': '12/12/22(Mon)21:55:38', 'name': 'Anonymous', 'com': '<a href=""#p2519164"" class=""quotelink"">&gt;&gt;2519164</a><br>What the fuck is that bit? I use ones that are super skinny at the bit end, obviously useful for being able to follow the screw head into the screw hole. Why are these ones so huge at the bit end and then comically skinny in the middle? Maybe there is a torque based explanation that I can&#039;t see but to me this looks like it was designed by someone detached from reality', 'filename': '1670121694073257', 'ext': '.png', 'w': 382, 'h': 478, 'tn_w': 99, 'tn_h': 125, 'tim': 1670900138486608, 'time': 1670900138, 'md5': 'iIzcEZNOS48ZmXtW+GE5gA==', 'fsize': 28581, 'resto': 2519164}, {'no': 2520733, 'now': '12/12/22(Mon)22:03:14', 'name': 'Anonymous', 'com': '<a href=""#p2520728"" class=""quotelink"">&gt;&gt;2520728</a><br>Jew scheme to save 0.001% manufacturing costs on steel volume while upcharging 100% for a premium &quot;torsion zone&quot; they claim makes the bit stronger via meme handrubbing magic but is demonstrably false and significantly weaker than a full thickness hex shank all the way through... to the surprise of literally nobody. Point is it looks fancy and they claim it&#039;s better so &#039;tards Buy It Anyway.', 'time': 1670900594, 'resto': 2519164}, {'no': 2520735, 'now': '12/12/22(Mon)22:07:01', 'name': 'Anonymous', 'com': '<a href=""#p2520733"" class=""quotelink"">&gt;&gt;2520733</a><br>are there any boards you /pol/tards don&#039;t shit up?', 'time': 1670900821, 'resto': 2519164}, {'no': 2520742, 'now': '12/12/22(Mon)22:13:15', 'name': 'Anonymous', 'com': '<a href=""#p2519174"" class=""quotelink"">&gt;&gt;2519174</a><br>Based Cole Porter hentai enthusiast', 'time': 1670901195, 'resto': 2519164}, {'no': 2520747, 'now': '12/12/22(Mon)22:19:33', 'name': 'Anonymous', 'com': '<a href=""#p2520728"" class=""quotelink"">&gt;&gt;2520728</a><br>Its a double ended bit, probably robbie and philips', 'time': 1670901573, 'resto': 2519164}]",1670901573,0.0,0.0,14.0,2.0,
