,no,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,omitted_posts,omitted_images,spoiler,trip
38,134407696,12/06/22(Tue)12:33:24,Anonymous,Moobread the Cowpirate,What are /co/&#039;s thoughts on This pitch?<br>https://youtu.be/VNLXJ1t5uTc,hqdefault,.jpg,480,360,250,187,1670348004215003,1670348004,HbzCztR14esHecnPRsVz9Q==,39669,0,0,0,moobread-the-cowpirate,5,181,66,"[{'no': 134459105, 'now': '12/09/22(Fri)18:23:45', 'name': 'Anonymous', 'com': 'For what it&#039;s worth, Kyle&#039;s a very gifted voice actor.', 'filename': 'Dungeons and Dayjobs', 'ext': '.jpg', 'w': 3300, 'h': 2550, 'tn_w': 125, 'tn_h': 96, 'tim': 1670628225976616, 'time': 1670628225, 'md5': '+ftLIYnQ7mFPpsFdB7iVKA==', 'fsize': 1007701, 'resto': 134407696}, {'no': 134459679, 'now': '12/09/22(Fri)19:10:59', 'name': 'Anonymous', 'com': '<a href=""#p134459073"" class=""quotelink"">&gt;&gt;134459073</a><br>Most /co/ creators aren’t successful', 'time': 1670631059, 'resto': 134407696}, {'no': 134459939, 'now': '12/09/22(Fri)19:33:34', 'name': 'Anonymous', 'com': '<a href=""#p134435657"" class=""quotelink"">&gt;&gt;134435657</a><br>anon likes to have a carrozza thread from time to time. The thread about how repetitive and desperate his pitches are was a sad one', 'time': 1670632414, 'resto': 134407696}, {'no': 134460295, 'now': '12/09/22(Fri)20:04:49', 'name': 'Anonymous', 'com': '<a href=""#p134459105"" class=""quotelink"">&gt;&gt;134459105</a><br>Neat!', 'time': 1670634289, 'resto': 134407696}, {'no': 134460741, 'now': '12/09/22(Fri)20:41:35', 'name': 'Anonymous', 'com': '<a href=""#p134459105"" class=""quotelink"">&gt;&gt;134459105</a><br><span class=""quote"">&gt;3 fantasy names</span><br><span class=""quote"">&gt;normal ass name like Phil</span><br>I always love this trope', 'time': 1670636495, 'resto': 134407696}]",1670636495,176.0,65.0,,
39,134440740,12/08/22(Thu)13:34:41,Anonymous,,"Judy was the best Disney girl from the 2010s, and I&#039;m tired of pretending she wasn&#039;t",judyhopps,.jpg,1200,675,250,140,1670524481362707,1670524481,sx6ub9vDQRpcvUY40vpB4Q==,134719,0,0,0,judy-was-the-best-disney-girl-from-the-2010s-and,5,201,77,"[{'no': 134458963, 'now': '12/09/22(Fri)18:13:38', 'name': 'Anonymous', 'com': '<a href=""#p134458843"" class=""quotelink"">&gt;&gt;134458843</a><br>We cant post anything', 'time': 1670627618, 'resto': 134440740}, {'no': 134459225, 'now': '12/09/22(Fri)18:32:31', 'name': 'Anonymous', 'com': '<a href=""#p134457501"" class=""quotelink"">&gt;&gt;134457501</a><br>Elsa is a wonderful person. The best. Only a horrible person would say otherwise.', 'filename': 'Elsa1017', 'ext': '.jpg', 'w': 1242, 'h': 1573, 'tn_w': 98, 'tn_h': 125, 'tim': 1670628751077764, 'time': 1670628751, 'md5': 'IQ6AY8/dj2iarW3pEETN3w==', 'fsize': 133713, 'resto': 134440740}, {'no': 134460461, 'now': '12/09/22(Fri)20:20:07', 'name': 'Anonymous', 'com': '<a href=""#p134452194"" class=""quotelink"">&gt;&gt;134452194</a><br>wtf is this crossover?', 'time': 1670635207, 'resto': 134440740}, {'no': 134460608, 'now': '12/09/22(Fri)20:30:52', 'name': 'Anonymous', 'com': '<a href=""#p134452194"" class=""quotelink"">&gt;&gt;134452194</a><br>Can&#039;t just post something like that without the sauce.', 'time': 1670635852, 'resto': 134440740}, {'no': 134460739, 'now': '12/09/22(Fri)20:41:32', 'name': 'Anonymous', 'com': '<a href=""#p134452194"" class=""quotelink"">&gt;&gt;134452194</a><br>This is Diane Foxington and John Wick all over again.', 'time': 1670636492, 'resto': 134440740}]",1670636492,196.0,76.0,,
40,134460738,12/09/22(Fri)20:41:30,Anonymous,,"<span class=""quote"">&gt;all these “2022… I am forgotten” threads</span><br>We all know what animated movie that phrase truly belongs to.",6E80A147-367C-4047-B7CD-5960445A57E0,.jpg,1000,1481,168,250,1670636490244169,1670636490,sWyvB7DC5zm+mqxEBKLCmg==,229119,0,0,0,all-these-2022-i-am-forgotten-threads,5,0,0,,1670636490,,,,
41,134447003,12/08/22(Thu)21:46:07,Anonymous,Suicide Squad Kill The Justice League,Kevin Conroy will be reprising his role as the Arkham Universe Batman one last time postmortem in Rocksteadys Suicide Squad Kill The Justice League.,Arkham_Batman_SSKJL,.jpg,1262,642,250,127,1670553967963943,1670553967,satAkaiGswEfC8haMd2qNQ==,58677,0,0,0,suicide-squad-kill-the-justice-league,5,94,6,"[{'no': 134460626, 'now': '12/09/22(Fri)20:32:16', 'name': 'Anonymous', 'com': '<a href=""#p134457646"" class=""quotelink"">&gt;&gt;134457646</a><br>but this isn&#039;t a religion board its a comics board and he stands for hope. also the Bible isn&#039;t very hopeful imo, Jesus is hopeful <br><a href=""#p134458347"" class=""quotelink"">&gt;&gt;134458347</a><br>have heard it sucked but I never had an n64<br><a href=""#p134457619"" class=""quotelink"">&gt;&gt;134457619</a><br>I feel like they could have balanced it out. No one is expecting a gritty suoerman game and I think they could do a decent job and stick to the aesthetic of superman.', 'time': 1670635936, 'resto': 134447003}, {'no': 134460631, 'now': '12/09/22(Fri)20:32:52', 'name': 'Anonymous', 'com': '<a href=""#p134447003"" class=""quotelink"">&gt;&gt;134447003</a><br>Tara Strong is so so so so so so so so so so very bad as Harley Quinn and it infuriates me that she&#039;s like the de facto VA for her now', 'time': 1670635972, 'resto': 134447003}, {'no': 134460636, 'now': '12/09/22(Fri)20:33:04', 'name': 'Anonymous', 'com': '<a href=""#p134447003"" class=""quotelink"">&gt;&gt;134447003</a><br><span class=""quote"">&gt;Suicide Squad Kill The Justice League</span><br>This is the ugliest Harley I have seen, besides the face she has no tits and ass and Wonder Woman must be ugly too because so far they haven&#039;t shown her and she must be that Gadot version with a skirt again.<br>This game comes with a seal do not buy', 'filename': 'suicide-squad-team-shot', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670635984671591, 'time': 1670635984, 'md5': '+Yl0o0ne6CtAqyGKYwhJ+w==', 'fsize': 450858, 'resto': 134447003}, {'no': 134460670, 'now': '12/09/22(Fri)20:35:55', 'name': 'Anonymous', 'com': '<a href=""#p134460626"" class=""quotelink"">&gt;&gt;134460626</a><br><span class=""quote"">&gt;No one is expecting a gritty suoerman game</span><br>No. But they are expecting a version of Superman that feels like he could exist in the same universe as the Akham Batman and his rogues gallery.', 'time': 1670636155, 'resto': 134447003}, {'no': 134460736, 'now': '12/09/22(Fri)20:41:17', 'name': 'Anonymous', 'com': '<a href=""#p134460636"" class=""quotelink"">&gt;&gt;134460636</a><br>Harley must be getting on in years now that Jokers dead. Makes sense she&#039;d start dressing less like a hooker.', 'time': 1670636477, 'resto': 134447003}]",1670636477,89.0,5.0,1.0,
42,134457875,12/09/22(Fri)16:44:39,Anonymous,YOLO: Silver Destiny,Will this be kino?<br>https://www.youtube.com/watch?v=GqK<wbr>X1Zu6v1U,YOLO-Silver-Destiny-1,.jpg,1000,600,250,150,1670622279895513,1670622279,PcCBN4ITFJdrMbM/WuKPkQ==,230137,0,0,0,yolo-silver-destiny,5,39,11,"[{'no': 134460509, 'now': '12/09/22(Fri)20:23:27', 'name': 'Anonymous', 'com': '<a href=""#p134459115"" class=""quotelink"">&gt;&gt;134459115</a><br>I FUCKING HATE THAT FUCKING BITCH I FUCKING HATE THAT FUCKING BITCH', 'time': 1670635407, 'resto': 134457875}, {'no': 134460529, 'now': '12/09/22(Fri)20:24:37', 'name': 'Anonymous', 'com': '<a href=""#p134459115"" class=""quotelink"">&gt;&gt;134459115</a>', 'filename': '1391985681627', 'ext': '.png', 'w': 175, 'h': 200, 'tn_w': 109, 'tn_h': 125, 'tim': 1670635477479379, 'time': 1670635477, 'md5': 'ofIx+pDe1skIEWlJQiqMIA==', 'fsize': 38641, 'resto': 134457875}, {'no': 134460554, 'now': '12/09/22(Fri)20:26:42', 'name': 'Anonymous', 'com': '<a href=""#p134460480"" class=""quotelink"">&gt;&gt;134460480</a><br>https://www.youtube.com/watch?v=_Cf<wbr>hi7SlrtU', 'time': 1670635602, 'resto': 134457875}, {'no': 134460709, 'now': '12/09/22(Fri)20:39:18', 'name': 'Anonymous', 'com': '<a href=""#p134457875"" class=""quotelink"">&gt;&gt;134457875</a><br>New season of Tender Touches when?', 'time': 1670636358, 'resto': 134457875}, {'no': 134460734, 'now': '12/09/22(Fri)20:40:56', 'name': 'Anonymous', 'com': '<a href=""#p134459115"" class=""quotelink"">&gt;&gt;134459115</a><br>You fucking BITCH', 'filename': '1396740079731', 'ext': '.gif', 'w': 320, 'h': 240, 'tn_w': 125, 'tn_h': 93, 'tim': 1670636456608846, 'time': 1670636456, 'md5': '+UMHZQvSQogZZWo0iocJwA==', 'fsize': 1161224, 'resto': 134457875}]",1670636516,34.0,9.0,,
43,134442486,12/08/22(Thu)15:56:03,Anonymous,,Sex with Reagan,1669184458482,.png,362,709,127,250,1670532963358800,1670532963,I1hPIrp+j+eCKefoNX/4pw==,244534,0,0,0,sex-with-reagan,5,89,32,"[{'no': 134458801, 'now': '12/09/22(Fri)18:00:56', 'name': 'Anonymous', 'com': '<a href=""#p134456374"" class=""quotelink"">&gt;&gt;134456374</a><br>ponder the scent', 'time': 1670626856, 'resto': 134442486}, {'no': 134459208, 'now': '12/09/22(Fri)18:31:34', 'name': 'Anonymous', 'com': '<a href=""#p134458708"" class=""quotelink"">&gt;&gt;134458708</a><br>You&#039;ll hate it then<br><span class=""quote"">&gt;Deep state needs fiat currency</span><br>a recurring plot point<br><span class=""quote"">&gt;Members of the deep state care about currency-salary-money complaints</span><br><span class=""quote"">&gt;lizard people use fiat currency</span><br>There isn&#039;t even a joke about how the FED is run by some enemy faction <s>or alluding that it&#039;s literally just the Jews</s> that keeps them away from the infinite money printer of state debt.<br><br>From S1E1 the show was ruined for me; the money thing instantly cemented that they had no one redpilled/skitzo enough to write semi satirical references to real shit government and cabals behind it have done/are doing. After that point watching was to kill time and try and figure out why so many people want to hold hands with/rape calarts Tomoko Reagan Kuroki <br><br><br>Things that would have been entertaining to see<br><span class=""quote"">&gt;JFK sniper guy revealed to have been one of the secret security detail of the tailing car and to have blown JFKs head off by accident with his M16 when Oswald opened up with his Carcano</span><br>They even had a brief and pointless subplot that he wasn&#039;t a good shot, which could have meant something if it referenced and dovetailed into one of the wildest but most likely JFK conspiracies. Instead it was single use and only in the show for &quot;and this is why reagan should be able to fire him&quot; to be quickly forgotten when he becomes a crack shot again.<br><br>And something to do with project paperclip and a Dr. Strangelove reference. Maybe making one of Reagans potential romantic flings &quot;a boy from Brazil&quot; and everything imploding when she realizes. Otherwise a super cool, perfect guy. Brett without the simp energy. Making the whole joke that his grandfather was a holocoaster eagle and the bear 13 inches of wood up my ass Nazi Nazi that immediately questions her about that shnoz from his wheelchair.<br><br>Other things like this to give things double meaning. &quot;Conspiracy&quot; isn&#039;t the &quot;real&quot; point of the show but still it should have been integrated instead of smeared on top of the banal Girlboss&#039;ing.', 'time': 1670628694, 'resto': 134442486}, {'no': 134459988, 'now': '12/09/22(Fri)19:37:39', 'name': 'Anonymous', 'com': 'Realistically, can we even expect Part 3 by next year?', 'filename': 'Act Thb', 'ext': '.jpg', 'w': 946, 'h': 2048, 'tn_w': 57, 'tn_h': 125, 'tim': 1670632659444090, 'time': 1670632659, 'md5': 'FuMnG60DfimhPJUiIr/M6A==', 'fsize': 110396, 'resto': 134442486}, {'no': 134460474, 'now': '12/09/22(Fri)20:20:44', 'name': 'Anonymous', 'com': '<a href=""#p134459988"" class=""quotelink"">&gt;&gt;134459988</a><br>Not a chance in hell.', 'filename': 'gates of hell', 'ext': '.jpg', 'w': 2048, 'h': 1155, 'tn_w': 125, 'tn_h': 70, 'tim': 1670635244575294, 'time': 1670635244, 'md5': 'xfIqUX+E7rtuPFjr1d6e+w==', 'fsize': 439938, 'resto': 134442486}, {'no': 134460727, 'now': '12/09/22(Fri)20:40:31', 'name': 'Anonymous', 'com': '<a href=""#p134442486"" class=""quotelink"">&gt;&gt;134442486</a><br>there&#039;s like no way Reagan is good in bed, I won&#039;t believe it', 'time': 1670636431, 'resto': 134442486}]",1670636431,84.0,30.0,,
44,134460133,12/09/22(Fri)19:49:34,Anonymous,,Pups of Liberty was a dead franchise until they added the dog lady and it blew up on tiktok. I don&#039;t know what this says about the state of animation but I don&#039;t like it. 1.4 million views there when episodes barely got 200 on YouTube.,pups,.png,1459,625,250,107,1670633374986152,1670633374,8pcVvGWFevMCOS8pb4jGKw==,575942,0,0,0,pups-of-liberty-was-a-dead-franchise-until-they,5,5,1,"[{'no': 134460148, 'now': '12/09/22(Fri)19:50:37', 'name': 'Anonymous', 'filename': 'download', 'ext': '.webm', 'w': 1024, 'h': 576, 'tn_w': 125, 'tn_h': 70, 'tim': 1670633437282837, 'time': 1670633437, 'md5': 'RQa+dx3p4g5wGS5kL/VZcg==', 'fsize': 2296799, 'resto': 134460133}, {'no': 134460174, 'now': '12/09/22(Fri)19:54:15', 'name': 'Anonymous', 'com': 'It&#039;s always been well known that people only &quot;watch&quot; shows because of waifus, only reason garbage like Frogshit or Owlshit gets so many posts<br>This show got lucky and had its FOTM', 'time': 1670633655, 'resto': 134460133}, {'no': 134460244, 'now': '12/09/22(Fri)20:00:23', 'name': 'Anonymous', 'com': '<a href=""#p134460133"" class=""quotelink"">&gt;&gt;134460133</a><br>I just love the 2D animation for it. The Hamilton one was nice', 'time': 1670634023, 'resto': 134460133}, {'no': 134460254, 'now': '12/09/22(Fri)20:01:36', 'name': 'Anonymous', 'com': '<a href=""#p134460133"" class=""quotelink"">&gt;&gt;134460133</a><br>okay', 'time': 1670634096, 'resto': 134460133}, {'no': 134460724, 'now': '12/09/22(Fri)20:40:24', 'name': 'Anonymous', 'com': '<a href=""#p134460174"" class=""quotelink"">&gt;&gt;134460174</a><br>Most of the time those cartoons don&#039;t go out of the way to make that character their profile picture, though.', 'time': 1670636424, 'resto': 134460133}]",1670636424,,,,
45,134459756,12/09/22(Fri)19:17:12,Anonymous,Arcane,So which one of these girls will die in season 2?,caitlyn-and-vi-arcane-673446317,.jpg,1800,900,250,125,1670631432230689,1670631432,G1ACPODcOU3PUjMr66e1vw==,71839,0,0,0,arcane,5,3,1,"[{'no': 134459831, 'now': '12/09/22(Fri)19:24:05', 'name': 'Anonymous', 'com': '<a href=""#p134459756"" class=""quotelink"">&gt;&gt;134459756</a><br>Neither, they are both Champions', 'time': 1670631845, 'resto': 134459756}, {'no': 134460688, 'now': '12/09/22(Fri)20:37:39', 'name': 'Anonymous', 'com': '<a href=""#p134459756"" class=""quotelink"">&gt;&gt;134459756</a><br>In a perfect world both. But neither as they are protags and gay. Double untouchable.', 'time': 1670636259, 'resto': 134459756}, {'no': 134460722, 'now': '12/09/22(Fri)20:40:20', 'name': 'Anonymous', 'com': '<a href=""#p134459756"" class=""quotelink"">&gt;&gt;134459756</a><br>Good one.', 'filename': '484847', 'ext': '.jpg', 'w': 850, 'h': 595, 'tn_w': 125, 'tn_h': 87, 'tim': 1670636420253685, 'time': 1670636420, 'md5': 'C6Ob9BLbUT+kRG0lX5YmzQ==', 'fsize': 85459, 'resto': 134459756}]",1670636420,,,,
46,134459230,12/09/22(Fri)18:32:56,Anonymous,Batman &amp; Dracula: Crimson Mist Storytime,"<span class=""quote"">&gt;After the vampiric Batman had been put to rest in peace after draining and killing the Joker, crime steadily rises in Gotham City, and without the caped crusader to protect the innocent and the police powerless to fight against the Scarecrow, Poison Ivy, the Riddler and the Penguin. Alfred decide to remove the stake from Batman’s chest, awakening as maddened undead because he was in a death-like state where he was conscient but not really dead because they forgot to behead him. Desperate to feast after tasting blood for the first time on the Joker, the Batman starts a killing spree over Gothan City’ criminals, first with the Penguin and his gang, but in order to not create further vampires, he beheads all his victims and send their heads to GCPD.</span>",Batman-Crimson_Mist_pg000_GCPDGuy,.jpg,1029,1553,165,250,1670628776531594,1670628776,2jykPl8OVSQP3OnC/QQzmg==,158823,0,0,0,batman-dracula-crimson-mist-storytime,5,122,103,"[{'no': 134459967, 'now': '12/09/22(Fri)19:36:06', 'name': 'Anonymous', 'com': 'end', 'filename': 'Batman-Crimson_Mist_pg98_GCPDGuy', 'ext': '.jpg', 'w': 1087, 'h': 1554, 'tn_w': 87, 'tn_h': 125, 'tim': 1670632566510601, 'time': 1670632566, 'md5': 'Cbh/hc2dj8bH74Rr6LH1kg==', 'fsize': 182430, 'resto': 134459230}, {'no': 134459976, 'now': '12/09/22(Fri)19:36:34', 'name': 'Anonymous', 'com': 'Thanks OP it was a a good read even if it did have its flaws', 'time': 1670632594, 'resto': 134459230}, {'no': 134459989, 'now': '12/09/22(Fri)19:37:40', 'name': 'Anonymous', 'com': '<a href=""#p134459976"" class=""quotelink"">&gt;&gt;134459976</a><br>yep sums it up well', 'time': 1670632660, 'resto': 134459230}, {'no': 134460703, 'now': '12/09/22(Fri)20:38:43', 'name': 'Anonymous', 'com': 'I miss classic vampires, they&#039;re always great.', 'time': 1670636323, 'resto': 134459230}, {'no': 134460721, 'now': '12/09/22(Fri)20:40:12', 'name': 'Anonymous', 'com': '<a href=""#p134459473"" class=""quotelink"">&gt;&gt;134459473</a><br><a href=""#p134459479"" class=""quotelink"">&gt;&gt;134459479</a><br><a href=""#p134459488"" class=""quotelink"">&gt;&gt;134459488</a><br>booba', 'time': 1670636412, 'resto': 134459230}]",1670636412,117.0,102.0,,
47,134438615,12/08/22(Thu)10:26:19,Anonymous,,Pizza pizza,1670121423565218,.jpg,1461,1547,236,250,1670513179578529,1670513179,wU/kVFp1EImczN75/LHVaw==,140926,0,0,0,pizza-pizza,5,282,88,"[{'no': 134460393, 'now': '12/09/22(Fri)20:14:06', 'name': 'Anonymous', 'com': '<a href=""#p134460183"" class=""quotelink"">&gt;&gt;134460183</a><br><a href=""#p134457127"" class=""quotelink"">&gt;&gt;134457127</a><br>for me it&#039;s her', 'time': 1670634846, 'resto': 134438615}, {'no': 134460462, 'now': '12/09/22(Fri)20:20:09', 'name': 'Anonymous', 'com': '&quot;I can&#039;t believe Randy Quaid, gets to eat like this everyday.&#039;&#039;', 'filename': 'Petey', 'ext': '.jpg', 'w': 1366, 'h': 768, 'tn_w': 125, 'tn_h': 70, 'tim': 1670635209516623, 'time': 1670635209, 'md5': '9wg7sZ5ITWAY9pDN+9XW+Q==', 'fsize': 91250, 'resto': 134438615}, {'no': 134460536, 'now': '12/09/22(Fri)20:25:23', 'name': 'Anonymous', 'com': '<a href=""#p134460462"" class=""quotelink"">&gt;&gt;134460462</a><br><span class=""quote"">&gt;epitome of beanmouth show</span><br>Go back, keep making your own game. I know it&#039;s not yet done but I overheard you saying you wanna make your own game.', 'time': 1670635523, 'resto': 134438615}, {'no': 134460557, 'now': '12/09/22(Fri)20:26:53', 'name': 'Anonymous', 'com': '<a href=""#p134460536"" class=""quotelink"">&gt;&gt;134460536</a><br><span class=""quote"">&gt;Family guy </span><br><span class=""quote"">&gt;beanmouth</span><br>Nigga', 'time': 1670635613, 'resto': 134438615}, {'no': 134460715, 'now': '12/09/22(Fri)20:39:45', 'name': 'Anonymous', 'com': '<a href=""#p134439309"" class=""quotelink"">&gt;&gt;134439309</a><br>looks like coffee is good for you.', 'filename': '565e725bf89d0fc96b4b7d0488e14610', 'ext': '.jpg', 'w': 1399, 'h': 2090, 'tn_w': 83, 'tn_h': 125, 'tim': 1670636385054384, 'time': 1670636385, 'md5': 'j5Lx37KP7YzENt+J7XDd0A==', 'fsize': 209057, 'resto': 134438615}]",1670636385,277.0,86.0,,
48,134459787,12/09/22(Fri)19:20:06,Anonymous,,I miss these lil&#039; niggas like you wouldn&#039;t believe.,file,.png,600,600,250,250,1670631606646511,1670631606,6yQ+oH/yy/BGLJGqZ6pozg==,400790,0,0,0,i-miss-these-lil-niggas-like-you-wouldnt-believe,5,9,4,"[{'no': 134460043, 'now': '12/09/22(Fri)19:42:23', 'name': 'Anonymous', 'com': '<a href=""#p134460025"" class=""quotelink"">&gt;&gt;134460025</a><br>so the government owns it?<br>public domain niggas rise up!', 'time': 1670632943, 'resto': 134459787}, {'no': 134460055, 'now': '12/09/22(Fri)19:42:58', 'name': 'Anonymous', 'filename': 'missiles', 'ext': '.webm', 'w': 640, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670632978316278, 'time': 1670632978, 'md5': 'KlrAf3UDmHPrc56LVYRlrA==', 'fsize': 1686694, 'resto': 134459787}, {'no': 134460068, 'now': '12/09/22(Fri)19:43:59', 'name': 'Anonymous', 'filename': 'pummeling', 'ext': '.webm', 'w': 640, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670633039882814, 'time': 1670633039, 'md5': 'ohSW+6FlIycPF4XvCszPzw==', 'fsize': 514784, 'resto': 134459787}, {'no': 134460247, 'now': '12/09/22(Fri)20:00:40', 'name': 'Anonymous', 'com': '<a href=""#p134460025"" class=""quotelink"">&gt;&gt;134460025</a><br><span class=""quote"">&gt;tax write-off</span><br>how the hell does that work like why would that be a tax write-off', 'time': 1670634040, 'resto': 134459787}, {'no': 134460713, 'now': '12/09/22(Fri)20:39:38', 'name': 'Anonymous', 'com': '<a href=""#p134460037"" class=""quotelink"">&gt;&gt;134460037</a><br><a href=""#p134460055"" class=""quotelink"">&gt;&gt;134460055</a><br><a href=""#p134460068"" class=""quotelink"">&gt;&gt;134460068</a><br>The control panel gags will never not be funny.', 'time': 1670636378, 'resto': 134459787}]",1670636378,4.0,2.0,,
49,134458648,12/09/22(Fri)17:46:58,Anonymous,,Asian bf,1624479896726,.jpg,1920,1080,250,140,1670626018299788,1670626018,FV1KVkYJkbZSFU3AIoMlow==,1210673,0,0,0,asian-bf,5,12,4,"[{'no': 134459728, 'now': '12/09/22(Fri)19:14:39', 'name': 'Anonymous', 'com': 'Non-existent grudge bf', 'filename': '1640846161445', 'ext': '.jpg', 'w': 394, 'h': 353, 'tn_w': 125, 'tn_h': 111, 'tim': 1670631279963617, 'time': 1670631279, 'md5': 'j3GWXf55/lyANt0Y8hipUQ==', 'fsize': 44583, 'resto': 134458648}, {'no': 134459743, 'now': '12/09/22(Fri)19:16:08', 'name': 'Anonymous', 'com': '<a href=""#p134459728"" class=""quotelink"">&gt;&gt;134459728</a><br>what is this show?', 'time': 1670631368, 'resto': 134458648}, {'no': 134460061, 'now': '12/09/22(Fri)19:43:27', 'name': 'Anonymous', 'com': '<a href=""#p134459743"" class=""quotelink"">&gt;&gt;134459743</a><br>Infinity Train', 'time': 1670633007, 'resto': 134458648}, {'no': 134460081, 'now': '12/09/22(Fri)19:44:57', 'name': 'Anonymous', 'com': '<a href=""#p134458658"" class=""quotelink"">&gt;&gt;134458658</a><br>What&#039;s the difference?<br>They&#039;re both bug people', 'time': 1670633097, 'resto': 134458648}, {'no': 134460711, 'now': '12/09/22(Fri)20:39:26', 'name': 'Anonymous', 'com': 'Hand stealing abomination bf', 'filename': 'be20950ac21de1677b366ef1063280e1', 'ext': '.jpg', 'w': 2885, 'h': 3600, 'tn_w': 100, 'tn_h': 125, 'tim': 1670636366669733, 'time': 1670636366, 'md5': 'n98VKc7l98ujg5BQz4P3jQ==', 'fsize': 708172, 'resto': 134458648}]",1670636366,7.0,2.0,,
50,134456440,12/09/22(Fri)14:59:49,Anonymous,,Why did Disney stop making Mickey Mouse shorts?,1626104551798,.png,1080,1080,250,250,1670615989566955,1670615989,3W77DrJt5DLOto5QXCr3QQ==,729070,0,0,0,why-did-disney-stop-making-mickey-mouse-shorts,5,20,3,"[{'no': 134460335, 'now': '12/09/22(Fri)20:08:39', 'name': 'Anonymous', 'com': '<a href=""#p134459709"" class=""quotelink"">&gt;&gt;134459709</a><br>You think so? I remember getting a decent amount of Goofy shorts, namely in the first two seasons, but still. He&#039;s the silliest out of the main cast and doesn&#039;t exactly get Clarabelle or anyone else to bounce off of like Mickey and Donald do with their S/Os. It makes sense for him to be given fewer starring roles in this series than the others.', 'filename': '1538927853038', 'ext': '.jpg', 'w': 1242, 'h': 1242, 'tn_w': 125, 'tn_h': 125, 'tim': 1670634519656583, 'time': 1670634519, 'md5': 'QxlKMRyXMObM8cly2VW+1A==', 'fsize': 269005, 'resto': 134456440}, {'no': 134460542, 'now': '12/09/22(Fri)20:26:09', 'name': 'Anonymous', 'com': 'Pluto you&#039;re rrrrrrippped!', 'time': 1670635569, 'resto': 134456440}, {'no': 134460618, 'now': '12/09/22(Fri)20:31:36', 'name': 'Anonymous', 'com': '<a href=""#p134456440"" class=""quotelink"">&gt;&gt;134456440</a><br>Is it true that Paul Rudish will be done with it? No more Wonderful World of Mickey Mouse and any such stuff?', 'time': 1670635896, 'resto': 134456440}, {'no': 134460630, 'now': '12/09/22(Fri)20:32:47', 'name': 'Anonymous', 'com': '<a href=""#p134459992"" class=""quotelink"">&gt;&gt;134459992</a><br>I would prefer animated adaptations of Mickey Mouse comics especially by Floyd Gottfredson. I want a confrontation between Mickey and the Phantom Blot.', 'time': 1670635967, 'resto': 134456440}, {'no': 134460705, 'now': '12/09/22(Fri)20:38:56', 'name': 'Anonymous', 'com': '<a href=""#p134459081"" class=""quotelink"">&gt;&gt;134459081</a><br>Why is it over?', 'time': 1670636336, 'resto': 134456440}]",1670636509,15.0,2.0,,
51,134459966,12/09/22(Fri)19:35:58,Anonymous,,What did this guy do wrong again?<br>Explain to me like I&#039;m retarded because it looks like he just got fucked over by a bunch of ungrateful animals.,7994613,.png,2276,1560,250,171,1670632558004636,1670632558,hgDtZ9wJsVmLQdyJnslJNA==,2072019,0,0,0,what-did-this-guy-do-wrong-again,5,8,0,"[{'no': 134460527, 'now': '12/09/22(Fri)20:24:31', 'name': 'Anonymous', 'com': '<a href=""#p134460225"" class=""quotelink"">&gt;&gt;134460225</a><br><span class=""quote"">&gt;Snowball posters.</span>', 'time': 1670635471, 'resto': 134459966}, {'no': 134460651, 'now': '12/09/22(Fri)20:34:14', 'name': 'Anonymous', 'com': '<a href=""#p134459966"" class=""quotelink"">&gt;&gt;134459966</a><br>Wasn’t he an allegory for the Nazis/Hitler starting a war against the revolution and return ownership of the farm (Russia) back over to the farmer (Nobility)', 'time': 1670636054, 'resto': 134459966}, {'no': 134460682, 'now': '12/09/22(Fri)20:37:15', 'name': 'Anonymous', 'com': '<a href=""#p134460651"" class=""quotelink"">&gt;&gt;134460651</a><br>The farm is Russia. The farmer was the old government. The neighboring farmer who the pigs make a deal with only to get swindled is Hitler.', 'time': 1670636235, 'resto': 134459966}, {'no': 134460690, 'now': '12/09/22(Fri)20:37:52', 'name': 'SUPER AGGRO CRAG', 'com': '<a href=""#p134460651"" class=""quotelink"">&gt;&gt;134460651</a><br>no he was the tsar. hitler was mr. frederick, who allied with napoleon for like 5 minutes before stabbing him in the back and blowing up his silo.', 'time': 1670636272, 'resto': 134459966, 'trip': '!!7x7KzlxQrrH'}, {'no': 134460704, 'now': '12/09/22(Fri)20:38:54', 'name': 'Anonymous', 'com': '<a href=""#p134460651"" class=""quotelink"">&gt;&gt;134460651</a><br><span class=""quote"">&gt;National Socialism</span><br><span class=""quote"">&gt;Nobility</span><br>lol', 'time': 1670636334, 'resto': 134459966}]",1670636334,3.0,0.0,,
