,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
36,7944438,,,11/08/22(Tue)22:48:49,Anonymous,,Creepy things but cute colors,22,.png,1385,925,250,166,1667965729496659,1667965729,HY+OLa4IQvzxg4xob63Vnw==,1124255,0,creepy-things-but-cute-colors,16,8,11.0,4.0,"[{'no': 7949854, 'now': '12/04/22(Sun)00:02:41', 'name': 'Anonymous', 'com': 'am i doing it right', 'filename': '1440120529448-transformed', 'ext': '.jpg', 'w': 2560, 'h': 1920, 'tn_w': 125, 'tn_h': 93, 'tim': 1670130161032184, 'time': 1670130161, 'md5': 'CKSHUXD/hXXIABYgPBbL6A==', 'fsize': 485781, 'resto': 7944438}, {'no': 7950050, 'now': '12/04/22(Sun)17:35:13', 'name': 'Anonymous', 'com': '<a href=""#p7944447"" class=""quotelink"">&gt;&gt;7944447</a><br><a href=""#p7944438"" class=""quotelink"">&gt;&gt;7944438</a><br>Repent.', 'filename': '1656609831634', 'ext': '.jpg', 'w': 3424, 'h': 4869, 'tn_w': 87, 'tn_h': 125, 'tim': 1670193313779294, 'time': 1670193313, 'md5': '3wgRoft/3FB1tKe/RKfAvg==', 'fsize': 2805656, 'resto': 7944438}, {'no': 7950051, 'now': '12/04/22(Sun)17:36:30', 'name': 'Anonymous', 'com': '<a href=""#p7948186"" class=""quotelink"">&gt;&gt;7948186</a><br><a href=""#p7948292"" class=""quotelink"">&gt;&gt;7948292</a><br>The beauty of nature will take hold soon enough before you&#039;ll be able to do that.', 'filename': '1656572803643', 'ext': '.jpg', 'w': 3397, 'h': 4416, 'tn_w': 96, 'tn_h': 125, 'tim': 1670193390829567, 'time': 1670193390, 'md5': 'WODNTZgLiZwA0dyp2+1ARA==', 'fsize': 4343532, 'resto': 7944438}, {'no': 7950052, 'now': '12/04/22(Sun)17:37:04', 'name': 'Anonymous', 'com': '<a href=""#p7949802"" class=""quotelink"">&gt;&gt;7949802</a><br>Indeed.', 'filename': '1656572617521', 'ext': '.jpg', 'w': 3974, 'h': 3074, 'tn_w': 125, 'tn_h': 96, 'tim': 1670193424829454, 'time': 1670193424, 'md5': 'mxLQNh9iDcAt7wXcBBovSA==', 'fsize': 2157779, 'resto': 7944438}, {'no': 7951004, 'now': '12/09/22(Fri)16:07:29', 'name': 'Anonymous', 'com': '<a href=""#p7949802"" class=""quotelink"">&gt;&gt;7949802</a><br>that&#039;s a strange way to spell based', 'time': 1670620049, 'resto': 7944438}]",1670620049,0.0,0.0,
37,7922156,,,08/11/22(Thu)12:37:19,Anonymous,Books and Library papes,"Hi, I&#039;m trying to get some new cozy/library vibes wallpapers! Pretty open to anything within that category. I&#039;ve got a couple I&#039;ll post here to get it started, hopefully there are some others out here with some!!",IMG_6416,.jpg,1440,972,250,168,1660235839511236,1660235839,b25D/YV9XBm84+6kVd7tfA==,558053,0,books-and-library-papes,100,86,95.0,83.0,"[{'no': 7948488, 'now': '11/27/22(Sun)14:55:04', 'name': 'Anonymous', 'com': 'Thanks for these. They&#039;re great', 'time': 1669578904, 'resto': 7922156}, {'no': 7950169, 'now': '12/05/22(Mon)08:52:48', 'name': 'Anonymous', 'com': '<a href=""#p7922156"" class=""quotelink"">&gt;&gt;7922156</a><br>bump', 'time': 1670248368, 'resto': 7922156}, {'no': 7950299, 'now': '12/05/22(Mon)20:42:29', 'name': 'Anonymous', 'com': '<a href=""#p7922470"" class=""quotelink"">&gt;&gt;7922470</a><br>/r/ing the Jedi library', 'filename': '1661568017755387', 'ext': '.jpg', 'w': 1500, 'h': 1060, 'tn_w': 125, 'tn_h': 88, 'tim': 1670290949049197, 'time': 1670290949, 'md5': 'PL0gdZvWnXZ8ugAnpOv+XA==', 'fsize': 2198606, 'resto': 7922156}, {'no': 7950409, 'now': '12/06/22(Tue)07:47:58', 'name': 'Anonymous', 'filename': 'Rainy Day', 'ext': '.png', 'w': 2384, 'h': 1340, 'tn_w': 125, 'tn_h': 70, 'tim': 1670330878723446, 'time': 1670330878, 'md5': '/mLqtldUfuiPxPB4/tDjzg==', 'fsize': 6086089, 'resto': 7922156}, {'no': 7951003, 'now': '12/09/22(Fri)16:03:28', 'name': 'Anonymous', 'com': '<a href=""#p7950299"" class=""quotelink"">&gt;&gt;7950299</a>', 'filename': 'Library_Busts_AotC', 'ext': '.png', 'w': 1920, 'h': 818, 'tn_w': 125, 'tn_h': 53, 'tim': 1670619808030749, 'time': 1670619808, 'md5': '12IiSipv7hY/JQYxSKf8KA==', 'fsize': 1755634, 'resto': 7922156}]",1670619808,0.0,0.0,
38,7946609,,,11/19/22(Sat)09:01:46,Anonymous,Post some engineer-esque wallapers,Not just engineering stuff related to Math and physics appreciated too.,LargeHadronCollider,.jpg,1920,1080,250,140,1668866506238561,1668866506,/jld+9NOLVcqCjok5xAmeg==,281650,0,post-some-engineeresque-wallapers,24,21,19.0,16.0,"[{'no': 7947144, 'now': '11/21/22(Mon)19:01:00', 'name': 'Anonymous', 'filename': 'wp4431937', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1669075260871943, 'time': 1669075260, 'md5': 'qZ1Pm4EBLgYxyM/NS0NCtg==', 'fsize': 123922, 'resto': 7946609}, {'no': 7947145, 'now': '11/21/22(Mon)19:01:38', 'name': 'Anonymous', 'filename': 'charles-de-gaulle-airport', 'ext': '.jpg', 'w': 2000, 'h': 973, 'tn_w': 125, 'tn_h': 60, 'tim': 1669075298085950, 'time': 1669075298, 'md5': 'ZZaJIAvFnOa2hPBzLdS1sg==', 'fsize': 1357612, 'resto': 7946609}, {'no': 7949696, 'now': '12/03/22(Sat)02:01:47', 'name': 'Anonymous', 'filename': 'RkeezA0', 'ext': '.jpg', 'w': 2956, 'h': 1968, 'tn_w': 125, 'tn_h': 83, 'tim': 1670050907752059, 'time': 1670050907, 'md5': 'Cey3+5OjoeRoUugqb64Tew==', 'fsize': 808281, 'resto': 7946609}, {'no': 7951001, 'now': '12/09/22(Fri)15:59:34', 'name': 'Anonymous', 'filename': 'Shanghai skyscrapers', 'ext': '.jpg', 'w': 1332, 'h': 850, 'tn_w': 124, 'tn_h': 79, 'tim': 1670619574063910, 'time': 1670619574, 'md5': 'v2Ffy4JiCC4AyxS5Rdmn8Q==', 'fsize': 151528, 'resto': 7946609}, {'no': 7951002, 'now': '12/09/22(Fri)16:00:21', 'name': 'Anonymous', 'filename': 'Forthbridge_feb_2013', 'ext': '.jpg', 'w': 5211, 'h': 2931, 'tn_w': 125, 'tn_h': 70, 'tim': 1670619621487808, 'time': 1670619621, 'md5': 'Y2N5k9BOmun9sCpQyBYw9A==', 'fsize': 2017871, 'resto': 7946609}]",1670619621,0.0,0.0,
39,7944284,,,11/08/22(Tue)08:53:22,Anonymous,Hong Kong streets / neon signs,The best aesthetics in existence.,500pxdownload.com-176006271,.jpg,2048,1362,250,166,1667915602074269,1667915602,z6ruLO3s7IdfE3WaUBOQnQ==,928032,0,hong-kong-streets-neon-signs,24,19,19.0,17.0,"[{'no': 7947958, 'now': '11/25/22(Fri)06:29:02', 'name': 'Anonymous', 'filename': '500pxdownload.com-142426743', 'ext': '.jpg', 'w': 2048, 'h': 1364, 'tn_w': 125, 'tn_h': 83, 'tim': 1669375742778553, 'time': 1669375742, 'md5': 'UTDmcso2PCBXmK7SV0upkw==', 'fsize': 1129167, 'resto': 7944284}, {'no': 7950070, 'now': '12/04/22(Sun)18:57:32', 'name': 'Anonymous', 'com': 'Not sure which city is, but fits the aesthetic of the thread', 'filename': '1614087863620', 'ext': '.jpg', 'w': 4096, 'h': 2731, 'tn_w': 125, 'tn_h': 83, 'tim': 1670198252688104, 'time': 1670198252, 'md5': 'G5ZAolapJF4s8wFlOppScQ==', 'fsize': 2084477, 'resto': 7944284}, {'no': 7950410, 'now': '12/06/22(Tue)07:58:58', 'name': 'Anonymous', 'com': '<a href=""#p7950070"" class=""quotelink"">&gt;&gt;7950070</a><br><span class=""quote"">&gt;Yakitori</span><br><span class=""quote"">&gt;Sashimi</span><br><span class=""quote"">&gt;¥180</span><br><span class=""quote"">&gt;Takeshi power walks toward u</span><br><span class=""quote"">&gt;Still not sure which country it is</span><br>Joke&#039;s on me though, you said city, not country.', 'time': 1670331538, 'resto': 7944284}, {'no': 7950992, 'now': '12/09/22(Fri)15:51:14', 'name': 'Anonymous', 'com': '<a href=""#p7944296"" class=""quotelink"">&gt;&gt;7944296</a><br>Korea is somehere in between. It&#039;s clean like Japan but has a slight shabby/grungey feeling closer to HK.', 'time': 1670619074, 'resto': 7944284}, {'no': 7950998, 'now': '12/09/22(Fri)15:56:30', 'name': 'Anonymous', 'com': '<a href=""#p7944284"" class=""quotelink"">&gt;&gt;7944284</a><br>Best thread ever, thank you op', 'time': 1670619390, 'resto': 7944284}]",1670619390,0.0,0.0,
40,7944599,,,11/09/22(Wed)09:01:45,Anonymous,Blue,"Feeling pretty cool today, so I&#039;m starting a Blue Thread",mist6,.png,1024,1024,250,250,1668002505558652,1668002505,uC+iJbVZjiwLr4MbtE0e8Q==,1427812,0,blue,106,105,101.0,100.0,"[{'no': 7950993, 'now': '12/09/22(Fri)15:51:27', 'name': 'Anonymous', 'filename': '1614087827886', 'ext': '.jpg', 'w': 1998, 'h': 1124, 'tn_w': 125, 'tn_h': 70, 'tim': 1670619087727250, 'time': 1670619087, 'md5': 'k4RNLH/FM5C0asdqjkzAxQ==', 'fsize': 276635, 'resto': 7944599}, {'no': 7950994, 'now': '12/09/22(Fri)15:51:59', 'name': 'Anonymous', 'filename': '1640684006317', 'ext': '.png', 'w': 3000, 'h': 1688, 'tn_w': 125, 'tn_h': 70, 'tim': 1670619119953541, 'time': 1670619119, 'md5': 'KK3wddnbENabMw+dKOZW9Q==', 'fsize': 509491, 'resto': 7944599}, {'no': 7950995, 'now': '12/09/22(Fri)15:53:35', 'name': 'Anonymous', 'filename': 'raja-nanadepu-castles-at-dusk', 'ext': '.jpg', 'w': 3035, 'h': 1657, 'tn_w': 124, 'tn_h': 68, 'tim': 1670619215303232, 'time': 1670619215, 'md5': 'i/+2pUeWhnFMZzXA4Gr+5A==', 'fsize': 884530, 'resto': 7944599}, {'no': 7950996, 'now': '12/09/22(Fri)15:54:15', 'name': 'Anonymous', 'filename': '1642212607218', 'ext': '.jpg', 'w': 5120, 'h': 2880, 'tn_w': 125, 'tn_h': 70, 'tim': 1670619255475712, 'time': 1670619255, 'md5': 'ehTlIPGckaXTYKa3JDgeWw==', 'fsize': 1216491, 'resto': 7944599}, {'no': 7950997, 'now': '12/09/22(Fri)15:54:56', 'name': 'Anonymous', 'filename': 'dawn venice italy san marco', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670619296478086, 'time': 1670619296, 'md5': 'WSJAdksCmzyczttYAZx2TA==', 'fsize': 810579, 'resto': 7944599}]",1670619296,0.0,0.0,
41,7950511,,,12/06/22(Tue)18:30:41,Anonymous,Battleship Bread (Real Ones),"From the earliest of boats with guns to the dreadnaught era, WW2, or modern. Let&#039;s see em boys. December 7 is near.",NEWJERSEYbb62,.jpg,1164,705,249,151,1670369441523297,1670369441,JeuDhHWMhX4hGbxiZQvUKw==,503075,0,battleship-bread-real-ones,17,15,12.0,12.0,"[{'no': 7950643, 'now': '12/07/22(Wed)12:55:12', 'name': 'MTGfan', 'com': 'unknown ship 3', 'filename': '1601826686851', 'ext': '.jpg', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670435712751030, 'time': 1670435712, 'md5': 'dbLuGiyo2oZ3TGeCppivTQ==', 'fsize': 753069, 'resto': 7950511}, {'no': 7950644, 'now': '12/07/22(Wed)12:56:05', 'name': 'MTGfan', 'com': 'unknown ship 4', 'filename': '1602955126045', 'ext': '.jpg', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670435765342988, 'time': 1670435765, 'md5': 'DF3J2BPs4WUko8yGVdHrVQ==', 'fsize': 1098698, 'resto': 7950511}, {'no': 7950668, 'now': '12/07/22(Wed)14:44:13', 'name': 'Anonymous', 'com': '<a href=""#p7950643"" class=""quotelink"">&gt;&gt;7950643</a><br>appears to say D-185<br><br>if true - <br><br>&quot;PNS Tippu Sultan, a Tariq-class destroyer, served in the Pakistan Navy after it was acquired in 1994. Her design was based on the British Type 21 frigate, and previously served in the Royal Navy as HMS Avenger as a general purpose frigate.&quot;', 'time': 1670442253, 'resto': 7950511}, {'no': 7950669, 'now': '12/07/22(Wed)14:45:21', 'name': 'Anonymous', 'com': '<a href=""#p7950643"" class=""quotelink"">&gt;&gt;7950643</a><br><a href=""#p7950668"" class=""quotelink"">&gt;&gt;7950668</a><br><br>if D186 (sorry eyesight is booty)<br><br>&quot;D186 Mölders was one of three Lütjens-class guided-missile destroyers, a modified version of the American Charles F. Adams class, built for the Bundesmarine during the 1960s.&quot;<br><br>I think it looks more like this.', 'time': 1670442321, 'resto': 7950511}, {'no': 7950991, 'now': '12/09/22(Fri)15:48:10', 'name': 'Anonymous', 'com': 'Japanese Battleship &quot;Yamato&quot; over 70 years after her sinking.', 'filename': 'MH 370', 'ext': '.jpg', 'w': 1200, 'h': 800, 'tn_w': 125, 'tn_h': 83, 'tim': 1670618890231857, 'time': 1670618890, 'md5': 'Zu0eTUwDNCjtQKW/GXn7HQ==', 'fsize': 341138, 'resto': 7950511}]",1670618890,0.0,0.0,
42,7899690,,,05/21/22(Sat)13:22:44,Anonymous,Gondola,Its weird to not see a gondola thread here. Let&#039;s post some papes from our good old guy.,Gondola6,.png,2400,1350,250,140,1653153764397,1653153764,Or9WeEKcBJeAUz/pIxROXQ==,4646745,0,gondola,194,105,189.0,102.0,"[{'no': 7950608, 'now': '12/07/22(Wed)10:11:40', 'name': 'Anonymous', 'com': '<a href=""#p7950607"" class=""quotelink"">&gt;&gt;7950607</a>', 'filename': 'holidays_christmas (28)', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670425900782856, 'time': 1670425900, 'md5': 'NdzM3PvDIWsc60IOZOOb9g==', 'fsize': 881726, 'resto': 7899690}, {'no': 7950609, 'now': '12/07/22(Wed)10:13:05', 'name': 'Anonymous', 'com': '<a href=""#p7950608"" class=""quotelink"">&gt;&gt;7950608</a>', 'filename': 'holidays_christmas (59)', 'ext': '.jpg', 'w': 1920, 'h': 1200, 'tn_w': 125, 'tn_h': 78, 'tim': 1670425985062718, 'time': 1670425985, 'md5': 'ie2VKGqqG5NpxO+Hwxn3hA==', 'fsize': 623860, 'resto': 7899690}, {'no': 7950611, 'now': '12/07/22(Wed)10:16:01', 'name': 'Anonymous', 'com': '<a href=""#p7950609"" class=""quotelink"">&gt;&gt;7950609</a>', 'filename': 'JFLPgu1', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670426161087903, 'time': 1670426161, 'md5': 'DWTCqfdyWPkD1CkzJf892w==', 'fsize': 359645, 'resto': 7899690}, {'no': 7950769, 'now': '12/08/22(Thu)05:00:05', 'name': 'Anonymous', 'com': 'Please post spooky /out/ related gondola, also comfy /out/ gondola with campfire.', 'time': 1670493605, 'resto': 7899690}, {'no': 7950986, 'now': '12/09/22(Fri)15:43:37', 'name': 'Anonymous', 'com': '<a href=""#p7949929"" class=""quotelink"">&gt;&gt;7949929</a><br><a href=""#p7949930"" class=""quotelink"">&gt;&gt;7949930</a><br><a href=""#p7950607"" class=""quotelink"">&gt;&gt;7950607</a><br>These are great.', 'time': 1670618617, 'resto': 7899690}]",1670618617,0.0,0.0,
43,7939058,,,10/17/22(Mon)17:55:18,Anonymous,Norse/Viking/Pagan wallpapers,,1442663,.jpg,2592,1944,250,187,1666043718771996,1666043718,xhJ/EZpUw7Ull43vkqSCDw==,187324,0,norsevikingpagan-wallpapers,103,92,98.0,88.0,"[{'no': 7950044, 'now': '12/04/22(Sun)17:21:08', 'name': 'Anonymous', 'filename': 'tnubmyxqWmv1sjbuy8o1_1280', 'ext': '.jpg', 'w': 1280, 'h': 1280, 'tn_w': 125, 'tn_h': 125, 'tim': 1670192468229406, 'time': 1670192468, 'md5': 'cPqPet40UH9WOQtrNUEvgw==', 'fsize': 548593, 'resto': 7939058}, {'no': 7950046, 'now': '12/04/22(Sun)17:22:29', 'name': 'Anonymous', 'com': '<a href=""#p7949826"" class=""quotelink"">&gt;&gt;7949826</a><br>Shalom', 'time': 1670192549, 'resto': 7939058}, {'no': 7950623, 'now': '12/07/22(Wed)11:06:00', 'name': 'Anonymous', 'filename': 'tnpol8a2w1U1uq4wbgo1_1280', 'ext': '.jpg', 'w': 864, 'h': 1152, 'tn_w': 93, 'tn_h': 125, 'tim': 1670429160116859, 'time': 1670429160, 'md5': 'DBnwK30uucVNSxbxAtM7zg==', 'fsize': 989672, 'resto': 7939058}, {'no': 7950797, 'now': '12/08/22(Thu)12:39:43', 'name': 'Anonymous', 'filename': '1456869672523', 'ext': '.jpg', 'w': 1041, 'h': 900, 'tn_w': 125, 'tn_h': 108, 'tim': 1670521183583656, 'time': 1670521183, 'md5': 'o6rvVRF14M+zB7z7CSnHEQ==', 'fsize': 312451, 'resto': 7939058}, {'no': 7950984, 'now': '12/09/22(Fri)15:10:36', 'name': 'Anonymous', 'com': 'Might be a bit off topic but I don&#039;t suppose anyone has any Celtic pagan or mythic wallpapers I lost my collection when my my last computer died', 'filename': 'Norse Cosmology', 'ext': '.jpg', 'w': 772, 'h': 1080, 'tn_w': 89, 'tn_h': 125, 'tim': 1670616636235132, 'time': 1670616636, 'md5': 'AGlx+VCQVbwPbztWk4xXTA==', 'fsize': 179373, 'resto': 7939058}]",1670616636,0.0,0.0,
44,7947389,,,11/23/22(Wed)00:12:34,Anonymous,NatSoc wallpapers,,1669073153132667,.jpg,937,1024,228,250,1669180354781374,1669180354,HeZpGENZIflLRKY1TO+NJA==,185726,0,natsoc-wallpapers,109,55,104.0,54.0,"[{'no': 7950863, 'now': '12/08/22(Thu)21:58:52', 'name': 'Anonymous', 'com': '<a href=""#p7947417"" class=""quotelink"">&gt;&gt;7947417</a><br>found the jew', 'time': 1670554732, 'resto': 7947389}, {'no': 7950903, 'now': '12/09/22(Fri)05:30:03', 'name': 'Anonymous', 'com': '<a href=""#p7950590"" class=""quotelink"">&gt;&gt;7950590</a><br><span class=""quote"">&gt;Nice to see the thread still going and the commies/kikes still assblasted.</span><br><a href=""#p7950621"" class=""quotelink"">&gt;&gt;7950621</a><br><span class=""quote"">&gt;They won&#039;t stop crying</span><br><br>Interesting to see people still not realise that the only reason they think/believe the nazi&#039;s were &#039;right-wing&#039; is entirely because that was in fact commie propaganda started by Stalin and the Soviets, and immediately spread by the various Allied nations in order not to piss Stalin off at the end of WWII.<br><br>He started this propaganda expressly to distance his brand of extreme evil socialism from the nazi&#039;s brand of extreme evil socialism, so that it would make it easier for him and other like-minded commies to spread Communism all around the world; and it totally worked too, despite all the warnings over the years from people who saw what Communism actually was and what it really meant, because not only did the commies end up doing far far worse than anything the nazi&#039;s could ever even imagine, here we now all are with a bunch of clueless nazi-sympathising muppets still believing AND spreading the commie lie that the nazi&#039;s were right-wing while the entire fucking world stares into an extreme socialist-inspired abyss that could ruin the world for literally decades/centuries to come.<br><br>Time to finally wake up and get your shit together... don&#039;t like the Commies? Fine, but maybe don&#039;t keep spreading their bullshit for them.', 'time': 1670581803, 'resto': 7947389}, {'no': 7950930, 'now': '12/09/22(Fri)09:17:41', 'name': 'Anonymous', 'com': '<a href=""#p7950903"" class=""quotelink"">&gt;&gt;7950903</a><br><span class=""quote"">&gt;extreme evil socialism</span><br>read a book you fucking retarded faggot.', 'time': 1670595461, 'resto': 7947389}, {'no': 7950977, 'now': '12/09/22(Fri)14:48:14', 'name': 'Anonymous', 'com': '“Through clever and constant application of propaganda, people can be made to see paradise as hell, and also the other way round, to consider the most wretched sort of life as paradise.”', 'filename': 'ALhscQS9j', 'ext': '.jpg', 'w': 4096, 'h': 2772, 'tn_w': 125, 'tn_h': 84, 'tim': 1670615294552165, 'time': 1670615294, 'md5': 'WcdMmQrKjg1YPVt8T5FgIg==', 'fsize': 3370259, 'resto': 7947389}, {'no': 7950982, 'now': '12/09/22(Fri)15:01:58', 'name': 'Anonymous', 'com': '<a href=""#p7950903"" class=""quotelink"">&gt;&gt;7950903</a><br><span class=""quote"">&gt;extreme nationalism</span><br><span class=""quote"">&gt;extreme racism</span><br><span class=""quote"">&gt;hate faggots</span><br><span class=""quote"">&gt;traditional values</span><br>but hurr durr they were authoritarian and authoritarian = communism<br>go back to pragerU retard', 'time': 1670616118, 'resto': 7947389}]",1670616118,0.0,0.0,
45,7940816,,,10/24/22(Mon)00:39:59,Anonymous,Galaxy and Space,"Anything Related to space, galaxies, cosmos, etc.",forest-1654415591951-4800,.jpg,1626,1038,250,159,1666586399304501,1666586399,i0SjFN6iyHEmDQfCGkjVoQ==,1421049,0,galaxy-and-space,35,34,30.0,29.0,"[{'no': 7946403, 'now': '11/18/22(Fri)01:36:50', 'name': 'MTGfan', 'filename': 'Eagle nebula', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1668753410275989, 'time': 1668753410, 'md5': '3ws/diCIKbMxZbXrqmu0vQ==', 'fsize': 1383857, 'resto': 7940816}, {'no': 7946404, 'now': '11/18/22(Fri)01:37:53', 'name': 'MTGfan', 'filename': 'Heart &amp; Soul nebula (infrared mosaic)', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1668753473108264, 'time': 1668753473, 'md5': 'vfti8U9YepemTZB4iTWLkg==', 'fsize': 3586819, 'resto': 7940816}, {'no': 7946405, 'now': '11/18/22(Fri)01:39:37', 'name': 'MTGfan', 'filename': 'Homunculus nebula', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1668753577811532, 'time': 1668753577, 'md5': 'rAraCiKD14yFpO+BDBHzBQ==', 'fsize': 944677, 'resto': 7940816}, {'no': 7948878, 'now': '11/29/22(Tue)09:58:55', 'name': 'Anonymous', 'filename': '1598631639506', 'ext': '.jpg', 'w': 1920, 'h': 1313, 'tn_w': 125, 'tn_h': 85, 'tim': 1669733935878661, 'time': 1669733935, 'md5': '9/6vLB75SkTUaQU4DLdIoQ==', 'fsize': 904775, 'resto': 7940816}, {'no': 7950980, 'now': '12/09/22(Fri)14:53:40', 'name': 'Anonymous', 'com': 'OC', 'filename': 'moon3', 'ext': '.png', 'w': 3440, 'h': 1440, 'tn_w': 125, 'tn_h': 52, 'tim': 1670615620542837, 'time': 1670615620, 'md5': 'SkWGuc7n9ySmrPjoRzUrcQ==', 'fsize': 4649221, 'resto': 7940816}]",1670615620,0.0,0.0,
46,7943221,,,11/03/22(Thu)11:50:09,Anonymous,Cars General,"Anything automotive. JDM, &#039;murican, Euro. Resto, old, new, built, bought, doesn&#039;t matter. Post &#039;em.",1654277821186,.jpg,3200,2000,250,156,1667490609460361,1667490609,be5iuXuXVPDWOlSbKMouzA==,888971,0,cars-general,66,56,61.0,54.0,"[{'no': 7950688, 'now': '12/07/22(Wed)16:25:47', 'name': 'Anonymous', 'com': 'love hot hatches', 'filename': '1654467830691', 'ext': '.jpg', 'w': 2000, 'h': 1333, 'tn_w': 125, 'tn_h': 83, 'tim': 1670448347974273, 'time': 1670448347, 'md5': 'P6KAUAdgQOujDejXP0qbug==', 'fsize': 236697, 'resto': 7943221}, {'no': 7950840, 'now': '12/08/22(Thu)17:56:18', 'name': 'Anonymous', 'com': '<a href=""#p7949747"" class=""quotelink"">&gt;&gt;7949747</a><br><span class=""quote"">&gt;Also not everyone wants to charge their car for hours on a roadtrip.</span><br><br>Don&#039;t think I&#039;m in any way defending/promoting Tesla/purely electric vehicles either; just like hybrids, electric vehicles are absolutely not the future of motoring either, at least not in their current hugely environmentally destructive battery-powered/needing to be constantly charged from the electricity grid form.<br><br>Unfortunately, the technologies, and their patents, that would allow for the production of fun, low-cost, actually eco-friendly vehicles have been stolen and locked away by the U.S. dark government for decades now, leaving the motoring industry chasing each other down various pointless technological cul-de-sacs.<br><br>- - -<br><br><span class=""quote"">&gt;small, affordable, actually fuel economical, and most importantly fun to drive</span><br><span class=""quote"">&gt;GR Yaris / Polo GTi / Golf GTi</span><br><br>Not sure any of those 3 vehicles actually meet all of those standards, they all certainly meet different combinations of some of the things on the list, but not all. <br><br>- - -<br><br><span class=""quote"">&gt;Pretty sporty for a big SUV.</span><br><br>Aye, and imagine how much more sporty (and fun/economical) it&#039;d be to drive if it wasn&#039;t such an unnecessarily large vehicle.', 'time': 1670540178, 'resto': 7943221}, {'no': 7950931, 'now': '12/09/22(Fri)09:48:32', 'name': 'Anonymous', 'com': '<a href=""#p7950688"" class=""quotelink"">&gt;&gt;7950688</a>', 'filename': 'hyundai-i30-n', 'ext': '.jpg', 'w': 1600, 'h': 1000, 'tn_w': 125, 'tn_h': 78, 'tim': 1670597312695551, 'time': 1670597312, 'md5': 'XOR3fanP1Nqqd9WWSjsGFQ==', 'fsize': 249915, 'resto': 7943221}, {'no': 7950932, 'now': '12/09/22(Fri)09:54:48', 'name': 'Anonymous', 'com': '<a href=""#p7950840"" class=""quotelink"">&gt;&gt;7950840</a><br><span class=""quote"">&gt;Aye, and imagine how much more sporty (and fun/economical) it&#039;d be to drive if it wasn&#039;t such an unnecessarily large vehicle.</span><br><br>Yeah, for a family of 4 a VW Golf is more than enough.', 'time': 1670597688, 'resto': 7943221}, {'no': 7950978, 'now': '12/09/22(Fri)14:51:11', 'name': 'Anonymous', 'com': '<a href=""#p7950932"" class=""quotelink"">&gt;&gt;7950932</a><br>its &quot;enough&quot; but definitely on the small side<br>especially as soon as you are transporting other family members or friends', 'time': 1670615471, 'resto': 7943221}]",1670615471,0.0,0.0,
