,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit
20,26158129,,,12/12/22(Mon)02:40:56,Anonymous,Nightdrive pic thread,How /comfy/ is your car at night?,IMG_20221121_191152,.jpg,4000,3000,250,187,1670830856845793,1670830856,dMuJG/vBYQKsZCPqPkj2bA==,987354,0,nightdrive-pic-thread,1,1,,,"[{'no': 26158403, 'now': '12/12/22(Mon)06:41:17', 'name': 'Anonymous', 'com': 'Very', 'filename': '20210418_002501', 'ext': '.jpg', 'w': 4032, 'h': 1908, 'tn_w': 125, 'tn_h': 59, 'tim': 1670845277089224, 'time': 1670845277, 'md5': 'qMxFys/nXkc3CjK1IpYGUw==', 'fsize': 1858892, 'resto': 26158129}]",1670845277,0.0,0.0
21,26157207,,,12/11/22(Sun)19:06:24,Anonymous,Volvo thread,Anyone up? Unfortunately new SSD not much to share.,mfah4sq7mnv81,.jpg,1600,1200,250,187,1670803584716638,1670803584,1wWo1i9N/h75VVwNo0iYBA==,407990,0,volvo-thread,5,0,,,"[{'no': 26157218, 'now': '12/11/22(Sun)19:10:19', 'name': 'Anonymous', 'com': 'I knocked up my girlfriend so now I’m looking for a well-cared-for XC70 we can use as a family car. I won’t buy a new Chink Volvo.', 'time': 1670803819, 'resto': 26157207}, {'no': 26157243, 'now': '12/11/22(Sun)19:17:45', 'name': 'Anonymous', 'com': '<a href=""#p26157218"" class=""quotelink"">&gt;&gt;26157218</a><br>Based. If possible get one with a 3.2, damn near indestructible engines and the only thing I see fail on them every now and then is the brake vacuum pump gasket. I work with the a top 3 if not the best Volvo technician in the States, and he hadn&#039;t seen a 3.2 taken apart in the shop until early this year when one of our now former coworkers seized the engine by not filling it with oil after an oil change. Fantastic cars, I&#039;d get one if they were within my budget. A P2 XC90 with a 3.2 isn&#039;t bad either', 'time': 1670804265, 'resto': 26157207}, {'no': 26157293, 'now': '12/11/22(Sun)19:48:12', 'name': 'Anonymous', 'com': '<a href=""#p26157218"" class=""quotelink"">&gt;&gt;26157218</a><br>Generally well built cars with a few things that could have been better. My MY 2003 (2.5L turbo 5) would eat front suspension bushings and motor mounts like candy. I started upgrading to urethane as the rubber ones would fall apart. Haldex quit working, didn&#039;t figure it out, but it&#039;s a pain because that car did not have traction control otherwise. Instrument panel shat the bed a few times. You can reflow the solder or swap for a rebuilt unit. I reflowed twice and then swapped. Resonator rusted out at less than 100K. <br>Make sure there&#039;s a service history with frequent scheduled oil changes. Change oil more than the recommended interval. You don&#039;t want sludge. <br>Also having a DICE compatible unit and a 3-day VIDA subscription here and there (dunno if they still offer that to consumers) saved me a lot of money in diagnostics.', 'time': 1670806092, 'resto': 26157207}, {'no': 26158372, 'now': '12/12/22(Mon)06:05:57', 'name': 'Anonymous', 'com': '<a href=""#p26157218"" class=""quotelink"">&gt;&gt;26157218</a><br>You&#039;re missing out.', 'time': 1670843157, 'resto': 26157207}, {'no': 26158399, 'now': '12/12/22(Mon)06:33:44', 'name': 'Anonymous', 'com': '<a href=""#p26157207"" class=""quotelink"">&gt;&gt;26157207</a><br>That&#039;s a ford', 'time': 1670844824, 'resto': 26157207}]",1670844824,0.0,0.0
22,26154788,,,12/11/22(Sun)00:04:28,Anonymous,,Are SUVs and trucks safer than sedans/coupes?,Sedan-vs-SUV,.png,974,543,249,139,1670735068738281,1670735068,OHTnMxMbEwUOA6dq6I50dQ==,23829,0,are-suvs-and-trucks-safer-than-sedanscoupes,18,9,13.0,8.0,"[{'no': 26156999, 'now': '12/11/22(Sun)17:54:58', 'name': 'Anonymous', 'com': '<a href=""#p26156660"" class=""quotelink"">&gt;&gt;26156660</a><br>More mass to absorb energy in a 2 car collision as well.<br>Also why it makes them more dangerous when they say run into a tree. <br>You would be surprised how small of a tree can stop a car, Tree that killed my brother was about 10cm thick at the time.', 'time': 1670799298, 'resto': 26154788}, {'no': 26157045, 'now': '12/11/22(Sun)18:08:22', 'name': 'Anonymous', 'com': '<a href=""#p26156474"" class=""quotelink"">&gt;&gt;26156474</a><br>Looks intact means safe driver', 'time': 1670800102, 'resto': 26154788}, {'no': 26157888, 'now': '12/12/22(Mon)00:19:10', 'name': 'Anonymous', 'com': '<a href=""#p26157045"" class=""quotelink"">&gt;&gt;26157045</a><br>SUVBROS.......WHAT THE HECK IS GOIN OOOOOOOOOONNN', 'filename': '1670805973229062', 'ext': '.webm', 'w': 270, 'h': 480, 'tn_w': 70, 'tn_h': 125, 'tim': 1670822350765157, 'time': 1670822350, 'md5': 'EaSL/1rew2UCCL8WPi78Xg==', 'fsize': 2598523, 'resto': 26154788}, {'no': 26158390, 'now': '12/12/22(Mon)06:25:10', 'name': 'Anonymous', 'com': '<a href=""#p26156999"" class=""quotelink"">&gt;&gt;26156999</a><br>checked and f bro. Trees are super fucking sturdy, especially alive and full of sap so they flex and rebound. Something to keep in mind when contemplating wood as a building material, even if it&#039;s dead and dried out by that time.', 'time': 1670844310, 'resto': 26154788}, {'no': 26158395, 'now': '12/12/22(Mon)06:31:09', 'name': 'Anonymous', 'com': 'are american bloatmaxx trugs more expensive to insure in the states?<br><br>because if they really were more unsafe they would be', 'time': 1670844669, 'resto': 26154788}]",1670844669,0.0,0.0
23,26157938,,,12/12/22(Mon)00:40:24,Anonymous,,"If you had to buy a heavily deprecitiated (sub 30k) early 2010s premium coupe-sedan, would you go for<br><br><span class=""quote"">&gt; Porsche Panamera</span><br><span class=""quote"">&gt; A7</span><br><span class=""quote"">&gt; 6-series</span><br><span class=""quote"">&gt; CLS</span><br><br>Realistically, you&#039;re looking at something with a V6, 150k driven and perhaps one major operation under way. Whats the best choice here?",Porsche-Panamera-Audi-RS7-Mercedes-Benz-CLS63-AMG-feature,.jpg,1920,768,250,100,1670823624013324,1670823624,VpLGkm7UpvvrxenQC3ZGyQ==,276981,0,if-you-had-to-buy-a-heavily-deprecitiated-sub-30k,8,1,3.0,0.0,"[{'no': 26158331, 'now': '12/12/22(Mon)05:34:16', 'name': 'Anonymous', 'com': '<a href=""#p26157938"" class=""quotelink"">&gt;&gt;26157938</a><br>Panamera will definitely drive the best out of those. Do you want a sport sedan or just a luxobarge?', 'time': 1670841256, 'resto': 26157938}, {'no': 26158353, 'now': '12/12/22(Mon)05:48:48', 'name': 'Anonymous', 'com': '<a href=""#p26158331"" class=""quotelink"">&gt;&gt;26158331</a><br>Panamera is also a giant unreliable piece of shit and the absolute worst car Porsche makes', 'time': 1670842128, 'resto': 26157938}, {'no': 26158364, 'now': '12/12/22(Mon)05:59:04', 'name': 'Anonymous', 'com': '<a href=""#p26158353"" class=""quotelink"">&gt;&gt;26158353</a><br><span class=""quote"">&gt;a giant unreliable piece of shit and the absolute worst car {brand} makes</span><br>Isn&#039;t that true of all of these coupe sedan things? They kind of seem like after thoughts that just check a box that the marketing department came up with', 'time': 1670842744, 'resto': 26157938}, {'no': 26158388, 'now': '12/12/22(Mon)06:24:17', 'name': 'Anonymous', 'com': 'I would personally get the a7 since the 3.0 Supercharged is a gem, and I like how it looks.', 'time': 1670844257, 'resto': 26157938}, {'no': 26158391, 'now': '12/12/22(Mon)06:25:42', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;1st gen Panamera</span><br>Ugly marshmallow<br><span class=""quote"">&gt;Audi</span><br>Nice, has aged the best, but most are in a generic spec<br><span class=""quote"">&gt;Benz</span><br>Probably the most interesting one if you get 500. But you want a V6 so meh?<br>The real answer is to take the BMW pill and get a 640i. <br><span class=""quote"">&gt;feels sexy like the CLS</span><br><span class=""quote"">&gt;actually a seriously engineered car like the A7</span><br><span class=""quote"">&gt;sporty like the Pana without being hideous</span><br>If you&#039;re too much of a homosexual for the BMW get the Audi', 'filename': 'P90093796-highRes (2)', 'ext': '.jpg', 'w': 1600, 'h': 1067, 'tn_w': 125, 'tn_h': 83, 'tim': 1670844342358268, 'time': 1670844342, 'md5': 'O5stkwl8FiUIOS3JiCtD5A==', 'fsize': 213016, 'resto': 26157938}]",1670844342,0.0,0.0
24,26158159,,,12/12/22(Mon)03:03:00,Anonymous,,Bike bells ringing<br>Faggot&#039;s passing through<br>Truckers singing especially for you<br>They&#039;re singing let it snow<br>And tell us where to go<br>Under the truckers&#039; tow<br>Baby let me glow<br>It′s winter<br>The best time of the year,1670832173908,.png,1080,1195,225,250,1670832180416402,1670832180,HJoz92pqL3sK5flmHB0idg==,153293,0,bike-bells-ringing,3,1,,,"[{'no': 26158169, 'now': '12/12/22(Mon)03:13:26', 'name': 'Anonymous', 'com': 'Post your BMI faggot', 'time': 1670832806, 'resto': 26158159}, {'no': 26158378, 'now': '12/12/22(Mon)06:14:54', 'name': 'Anonymous', 'com': '<a href=""#p26158169"" class=""quotelink"">&gt;&gt;26158169</a><br>22.5 faggot /n/igger post bus pass', 'time': 1670843694, 'resto': 26158159}, {'no': 26158387, 'now': '12/12/22(Mon)06:21:59', 'name': 'Anonymous', 'com': '<a href=""#p26158159"" class=""quotelink"">&gt;&gt;26158159</a>', 'filename': '1670843100363330', 'ext': '.jpg', 'w': 1200, 'h': 1200, 'tn_w': 125, 'tn_h': 125, 'tim': 1670844119721945, 'time': 1670844119, 'md5': 'BQ4oiVAV/EUKsylrbcOYgQ==', 'fsize': 85475, 'resto': 26158159}]",1670844119,0.0,0.0
25,26157027,,,12/11/22(Sun)18:03:20,Anonymous,do americans really,,gross,.jpg,473,355,250,187,1670799800349897,1670799800,FzFmZe2KvOXqiIR5CBHt2g==,44424,0,do-americans-really,74,18,69.0,15.0,"[{'no': 26158085, 'now': '12/12/22(Mon)02:18:52', 'name': 'Anonymous', 'com': '<a href=""#p26157727"" class=""quotelink"">&gt;&gt;26157727</a><br><a href=""#p26157777"" class=""quotelink"">&gt;&gt;26157777</a><br><span class=""quote"">&gt;Pulls me over</span><br><span class=""quote"">&gt;Offer him thr equivalent of 200 Us dollars</span><br><span class=""quote"">&gt;He leaves me alone</span><br>Hope these cops keep terrorizing democrat cities.', 'filename': '1670777247502719', 'ext': '.jpg', 'w': 1024, 'h': 550, 'tn_w': 125, 'tn_h': 67, 'tim': 1670829532621847, 'time': 1670829532, 'md5': 'M22PdAuO7FQSxWhnVBYIFw==', 'fsize': 35806, 'resto': 26157027}, {'no': 26158086, 'now': '12/12/22(Mon)02:19:55', 'name': 'Anonymous', 'com': '<a href=""#p26157997"" class=""quotelink"">&gt;&gt;26157997</a><br>Post car, you won&#039;t', 'filename': '1670784682559192', 'ext': '.png', 'w': 900, 'h': 900, 'tn_w': 125, 'tn_h': 125, 'tim': 1670829595358652, 'time': 1670829595, 'md5': 'NNn3kvCPiqPL3s16Hr5xIA==', 'fsize': 163005, 'resto': 26157027}, {'no': 26158249, 'now': '12/12/22(Mon)04:05:21', 'name': 'Anonymous', 'com': '<a href=""#p26157576"" class=""quotelink"">&gt;&gt;26157576</a><br>He&#039;s not wrong in any of those examples.', 'time': 1670835921, 'resto': 26157027}, {'no': 26158257, 'now': '12/12/22(Mon)04:15:14', 'name': 'Anonymous', 'com': '<a href=""#p26157027"" class=""quotelink"">&gt;&gt;26157027</a><br><span class=""quote"">&gt;do americans really</span><br>yes. <br><br>That&#039;s actually mild as far as making statements about yourself with decals on your vehicle.', 'filename': 'offender', 'ext': '.png', 'w': 749, 'h': 495, 'tn_w': 125, 'tn_h': 82, 'tim': 1670836514676390, 'time': 1670836514, 'md5': 'NUdAEIwq7Ckx8LhFyfg9eQ==', 'fsize': 550680, 'resto': 26157027}, {'no': 26158386, 'now': '12/12/22(Mon)06:21:43', 'name': 'Anonymous', 'com': '<a href=""#p26157027"" class=""quotelink"">&gt;&gt;26157027</a><br><span class=""quote"">&gt;muh authority figures</span>', 'time': 1670844103, 'resto': 26157027}]",1670844103,0.0,0.0
26,26150199,,,12/09/22(Fri)07:54:06,Anonymous,How does /o/ feel about start stop tech?,,Ford-Auto-Start-Stop-Button,.png,1172,672,250,143,1670590446229459,1670590446,itlcV1E8YMNr9CC+BDUb2A==,290702,0,how-does-o-feel-about-start-stop-tech,143,11,138.0,11.0,"[{'no': 26156568, 'now': '12/11/22(Sun)15:23:34', 'name': 'Anonymous', 'com': 'I have driven 2 vehicles with it. <br><br>A fiat 500x diesel Manuel that was absolutely annoying with it and an automatic Hyundai Tucson that was a dream.', 'time': 1670790214, 'resto': 26150199}, {'no': 26157014, 'now': '12/11/22(Sun)17:59:21', 'name': 'Anonymous', 'com': '<a href=""#p26150221"" class=""quotelink"">&gt;&gt;26150221</a><br><span class=""quote"">&gt;muh cuckmobile on a lease that turns itself off to shave off grams of emmisions so that bezos can drive his yacht for an hour longer is a status symbol</span><br>lol<br>I drive an audi from 2008, comfiest fucking thing I&#039;ve driven so far and enough room in the back for fucking and sleeping. Ultra based, if I do say so myself.<br>You keep driving that thing of yours tho.', 'time': 1670799561, 'resto': 26150199}, {'no': 26157025, 'now': '12/11/22(Sun)18:02:49', 'name': 'Anonymous', 'com': '<a href=""#p26157014"" class=""quotelink"">&gt;&gt;26157014</a><br>Based Audi enjoyer, those big boi A8s were basically Bentley, VAG rpoducts are what they are with the repairs, but something like the D3 platform is gonna ride nicer than any piece of shit you can buy now even if it costs a lot of money.', 'time': 1670799769, 'resto': 26150199}, {'no': 26157372, 'now': '12/11/22(Sun)20:20:07', 'name': 'Anonymous', 'com': '<a href=""#p26150199"" class=""quotelink"">&gt;&gt;26150199</a><br>It’s stupid, not great for starter or battery- which probably negates whatever savings one would hope to achieve. <br><br>I drive my QV in race mode 95% which permanently disables it, or I just disable it manually the other 5% of the time.', 'time': 1670808007, 'resto': 26150199}, {'no': 26158383, 'now': '12/12/22(Mon)06:19:23', 'name': 'Anonymous', 'com': '<a href=""#p26150199"" class=""quotelink"">&gt;&gt;26150199</a><br>needless complication brought about out of control fuel economy obsession<br><br>normies run their AC 24/7 anyway, especially women so stop start doesn&#039;t work', 'time': 1670843963, 'resto': 26150199}]",1670843963,0.0,0.0
27,26152755,,,12/10/22(Sat)09:15:51,Anonymous,,"<span class=""quote"">&gt;be me</span><br><span class=""quote"">&gt;australian truckie</span><br><span class=""quote"">&gt;get chance to do a working vacation in the USA</span><br><span class=""quote"">&gt;oh fuck yeah bud</span><br><span class=""quote"">&gt;after a few weeks of BS start out down the road in murica land</span><br><span class=""quote"">&gt;turn on the radio</span><br><span class=""quote"">&gt;some guy called dr dobson saying that jesus loves me</span><br><span class=""quote"">&gt;says I should give him $50 if I love jesus too</span><br><span class=""quote"">&gt;change station</span><br><span class=""quote"">&gt;some guy sitting way too close to the mic talking about how &#039;the libs&quot; own the world and all forms of media to brainwash you in to being gay</span><br><span class=""quote"">&gt;seemingly unaware he&#039;s got his own radio station</span><br><span class=""quote"">&gt;change station</span><br><span class=""quote"">&gt;country music station</span><br><span class=""quote"">&gt;music block ends, host starts talking about local sports results</span><br><span class=""quote"">&gt;seems sad a local highschool team lost.</span><br><span class=""quote"">&gt;people care about highschool sports?</span><br><span class=""quote"">&gt;someone calls in, caller and host get in to heated argument over highschool sports</span><br><span class=""quote"">&gt;change station</span><br><span class=""quote"">&gt;back to the jesus station</span><br><span class=""quote"">&gt;this is all I got to listen to</span><br>why is american radio so shit? I didn&#039;t even touch on the constant ads for dick pills. what country has best radio for doing long hauls?",tumblr_o4zj3jXgD51rmuzyno1_540,.jpg,512,358,250,174,1670681751872849,1670681751,+YsBfJndfAaj4SbVTr5L8Q==,24975,0,be-me,78,7,73.0,7.0,"[{'no': 26157005, 'now': '12/11/22(Sun)17:56:53', 'name': 'Anonymous', 'com': '<a href=""#p26155827"" class=""quotelink"">&gt;&gt;26155827</a><br><span class=""quote"">&gt;he doesn&#039;t know</span>', 'time': 1670799413, 'resto': 26152755}, {'no': 26157328, 'now': '12/11/22(Sun)20:01:07', 'name': 'Anonymous', 'com': '<a href=""#p26155896"" class=""quotelink"">&gt;&gt;26155896</a><br>what are you talking about, there were no camps in ohio', 'time': 1670806867, 'resto': 26152755}, {'no': 26157362, 'now': '12/11/22(Sun)20:16:14', 'name': 'Anonymous', 'com': '<a href=""#p26156922"" class=""quotelink"">&gt;&gt;26156922</a><br>Sounds kinda based honestly', 'time': 1670807774, 'resto': 26152755}, {'no': 26157671, 'now': '12/11/22(Sun)22:21:36', 'name': 'Anonymous', 'com': '<a href=""#p26157328"" class=""quotelink"">&gt;&gt;26157328</a><br>anon, think for a moment... have you ever actually met someone from Ohio?', 'time': 1670815296, 'resto': 26152755}, {'no': 26158381, 'now': '12/12/22(Mon)06:19:18', 'name': 'Anonymous', 'com': '<a href=""#p26156922"" class=""quotelink"">&gt;&gt;26156922</a><br>That&#039;s way cool. Nowadays in the US it&#039;s a total crap shoot and your best be might be the local NPR station except that a lot of them have gone in to 24/7 talk show propaganda with only a minimum or localy-controlled classical music and maybe a jazz show on the weekend.<br><br>I guess everybody just streams shit off the internet anyway if they don&#039;t just have their own equivalent to mix tapes.', 'time': 1670843958, 'resto': 26152755}]",1670843958,0.0,0.0
28,26152224,,,12/10/22(Sat)00:29:54,Anonymous,What does /o/ think about these guys?,Do they make quality cars?,5B4FF01B-415E-414F-9C5F-19AC86D98E03,.png,318,318,250,250,1670650194274834,1670650194,10KrFkmQOGi53GRltjnVoA==,79613,0,what-does-o-think-about-these-guys,47,4,42.0,3.0,"[{'no': 26157046, 'now': '12/11/22(Sun)18:08:30', 'name': 'Anonymous', 'com': '<a href=""#p26153203"" class=""quotelink"">&gt;&gt;26153203</a><br>To be fair the cars are built like shit whether they&#039;re made in Dearborn/Flint by a UAW worker or Mexico by a non-union guy. <br><br>It&#039;s the engineers not the workers. Most problems the workers can give you during the car assembly process will get caught during a pre-delivery inspection or within the warranty, while long term reliability/fit and finish (what ensures repeat customers) is purely on the engineers and their design choices <br><br>Just look at anything from Germany as proof positive.', 'time': 1670800110, 'resto': 26152224}, {'no': 26157062, 'now': '12/11/22(Sun)18:12:18', 'name': 'Anonymous', 'com': '<a href=""#p26156604"" class=""quotelink"">&gt;&gt;26156604</a><br>You can&#039;t be this fucking mad', 'time': 1670800338, 'resto': 26152224}, {'no': 26158019, 'now': '12/12/22(Mon)01:36:36', 'name': 'Anonymous', 'com': '<a href=""#p26155252"" class=""quotelink"">&gt;&gt;26155252</a><br>The American dream, a job at Chrysler.', 'filename': 'E9C44335-DB74-4CB9-ABA9-A78238ACF71A', 'ext': '.jpg', 'w': 424, 'h': 640, 'tn_w': 82, 'tn_h': 125, 'tim': 1670826996610640, 'time': 1670826996, 'md5': 'flfpOVOsO7NO3fm9IEtZXg==', 'fsize': 102080, 'resto': 26152224}, {'no': 26158075, 'now': '12/12/22(Mon)02:13:36', 'name': 'Anonymous', 'com': '<a href=""#p26155406"" class=""quotelink"">&gt;&gt;26155406</a><br>You&#039;re arguing with right wing neets who&#039;ve never had a proper paying job, and who&#039;ve been taught by their corporate welfare sucking parents that unions are bad mmkay. <br><br>Don&#039;t waste your time here.', 'time': 1670829216, 'resto': 26152224}, {'no': 26158376, 'now': '12/12/22(Mon)06:12:50', 'name': 'Anonymous', 'com': '<a href=""#p26158075"" class=""quotelink"">&gt;&gt;26158075</a><br>You really need to project that much in order to justify your place in life? lol. I even got trotted out to protest lines when they were trying to strike for a &quot;real contract.&quot; Better than leaving me home all alone, I guess.', 'time': 1670843570, 'resto': 26152224}]",1670843570,0.0,0.0
29,26151277,,,12/09/22(Fri)16:25:31,Anonymous,I just bought a 2011 Mercedes E63 AMG,"So yeah, as the title says - I just finalized my dead for a freaking mint 2011 e63 AMG. 64,000 miles. Looks almost brand new. This has been one of my dream cars for as long as I can remember, now I own one. Last AMG model with the naturally aspirated 6.2 liter V8.",1633517504055,.jpg,1338,889,250,166,1670621131442556,1670621131,WPSSN6Bx54GhEGdojj86vQ==,141611,0,i-just-bought-a-2011-mercedes-e63-amg,22,4,17.0,4.0,"[{'no': 26155854, 'now': '12/11/22(Sun)11:38:31', 'name': 'Anonymous', 'com': '<a href=""#p26151277"" class=""quotelink"">&gt;&gt;26151277</a><br>Head studs/head bolts will need special attention. Congrats you bought a nice car.', 'time': 1670776711, 'resto': 26151277}, {'no': 26157648, 'now': '12/11/22(Sun)22:15:06', 'name': 'Anonymous', 'com': '<a href=""#p26151277"" class=""quotelink"">&gt;&gt;26151277</a><br>It&#039;s crazy you paid all that money for a German car to get a worse quarter mile than a Charger RT', 'time': 1670814906, 'resto': 26151277}, {'no': 26157660, 'now': '12/11/22(Sun)22:18:07', 'name': 'Anonymous', 'com': '<a href=""#p26151804"" class=""quotelink"">&gt;&gt;26151804</a><br><a href=""#p26153632"" class=""quotelink"">&gt;&gt;26153632</a><br><span class=""quote"">&gt;mfw when I have a 30 year old Merc with 73k miles</span>', 'time': 1670815087, 'resto': 26151277}, {'no': 26158288, 'now': '12/12/22(Mon)04:45:23', 'name': 'Anonymous', 'com': 'enjoy your broken head bolt, worn out cam lobe, slammed airmatic', 'time': 1670838323, 'resto': 26151277}, {'no': 26158366, 'now': '12/12/22(Mon)06:01:30', 'name': 'Anonymous', 'com': '<a href=""#p26151804"" class=""quotelink"">&gt;&gt;26151804</a><br><span class=""quote"">&gt;bought a 20 year old merc with 63k</span><br>It&#039;s over', 'time': 1670842890, 'resto': 26151277}]",1670842890,0.0,0.0
30,26147499,,,12/08/22(Thu)09:55:09,Anonymous,,For me its the Porsche Carrera GT<br>Simply the best car ever made,2004-Porsche-Carrera-GT-for-sale-1,.png,1920,1440,250,187,1670511309122602,1670511309,96SjnYtQL0MrJvsLXGqn2Q==,1685318,0,for-me-its-the-porsche-carrera-gt,76,13,71.0,11.0,"[{'no': 26157334, 'now': '12/11/22(Sun)20:03:42', 'name': 'Anonymous', 'com': '<a href=""#p26155698"" class=""quotelink"">&gt;&gt;26155698</a><br>yea, cause they totally rebuilt the entire chassis for a top speed run you dumb negro.', 'time': 1670807022, 'resto': 26147499}, {'no': 26157410, 'now': '12/11/22(Sun)20:34:31', 'name': 'Anonymous', 'filename': '1200px-2005–2007_Hyundai_Tiburon_(GK)_V6_coupe', 'ext': '.jpg', 'w': 1200, 'h': 800, 'tn_w': 125, 'tn_h': 83, 'tim': 1670808871802147, 'time': 1670808871, 'md5': '3PDWRIM2BIjgiiNo66ZrjQ==', 'fsize': 154085, 'resto': 26147499}, {'no': 26158272, 'now': '12/12/22(Mon)04:28:12', 'name': 'Anonymous', 'com': '<a href=""#p26153428"" class=""quotelink"">&gt;&gt;26153428</a><br>Wrong it goes to 220 MPH', 'time': 1670837292, 'resto': 26147499}, {'no': 26158273, 'now': '12/12/22(Mon)04:29:24', 'name': 'Anonymous', 'com': '<a href=""#p26155635"" class=""quotelink"">&gt;&gt;26155635</a><br><a href=""#p26155636"" class=""quotelink"">&gt;&gt;26155636</a><br>They should have put a Flat-12 in the 918<br><a href=""#p26156012"" class=""quotelink"">&gt;&gt;26156012</a><br>Projecting', 'time': 1670837364, 'resto': 26147499}, {'no': 26158363, 'now': '12/12/22(Mon)05:57:18', 'name': 'Anonymous', 'com': '<a href=""#p26158272"" class=""quotelink"">&gt;&gt;26158272</a><br>Even if that wasn&#039;t a blatant lie, it&#039;d still be too slow.', 'filename': '1669560429878247', 'ext': '.jpg', 'w': 1200, 'h': 602, 'tn_w': 125, 'tn_h': 62, 'tim': 1670842638335822, 'time': 1670842638, 'md5': 'S63ORlmBLDk3Fz+4SrhxLg==', 'fsize': 119687, 'resto': 26147499}]",1670842638,0.0,0.0
31,26148574,,,12/08/22(Thu)17:48:33,Anonymous,,"welcome to the l/o/ttery! to participate, all you have to do is roll for a car",the lottery,.gif,3700,3700,250,250,1670539713932447,1670539713,I1pItdbN8znuR5F8u0a1bA==,3384234,0,welcome-to-the-lottery-to-participate-all-you,207,42,202.0,39.0,"[{'no': 26158342, 'now': '12/12/22(Mon)05:43:48', 'name': 'Anonymous', 'com': '<a href=""#p26148574"" class=""quotelink"">&gt;&gt;26148574</a><br>Rolling', 'time': 1670841828, 'resto': 26148574}, {'no': 26158346, 'now': '12/12/22(Mon)05:45:41', 'name': 'Anonymous', 'com': '<a href=""#p26148574"" class=""quotelink"">&gt;&gt;26148574</a><br>r', 'filename': '1317829267661', 'ext': '.jpg', 'w': 429, 'h': 410, 'tn_w': 125, 'tn_h': 119, 'tim': 1670841941462390, 'time': 1670841941, 'md5': 'Pte1kL6nEAUPQFfXbtbgkw==', 'fsize': 37709, 'resto': 26148574}, {'no': 26158347, 'now': '12/12/22(Mon)05:45:57', 'name': 'Anonymous', 'com': '<a href=""#p26148574"" class=""quotelink"">&gt;&gt;26148574</a>', 'filename': '1645157863002', 'ext': '.jpg', 'w': 640, 'h': 640, 'tn_w': 125, 'tn_h': 125, 'tim': 1670841957574583, 'time': 1670841957, 'md5': 'qs2BZmh+1KF+95p09UooKA==', 'fsize': 43250, 'resto': 26148574}, {'no': 26158349, 'now': '12/12/22(Mon)05:46:59', 'name': 'Anonymous', 'com': '<a href=""#p26158346"" class=""quotelink"">&gt;&gt;26158346</a><br><span class=""quote"">&gt;1st gen wrangler</span><br>i&#039;m a raging homo so this is fine', 'filename': '1666199226957430', 'ext': '.jpg', 'w': 622, 'h': 765, 'tn_w': 101, 'tn_h': 125, 'tim': 1670842019991422, 'time': 1670842019, 'md5': 'YITGN9fLOGodAs5gH/wITQ==', 'fsize': 82795, 'resto': 26148574}, {'no': 26158362, 'now': '12/12/22(Mon)05:56:50', 'name': 'Anonymous', 'com': '<a href=""#p26148574"" class=""quotelink"">&gt;&gt;26148574</a><br>rollin', 'time': 1670842610, 'resto': 26148574}]",1670842610,0.0,0.0
32,26157900,,,12/12/22(Mon)00:24:35,Anonymous,,looking for CHEAP 17 or 18 inch deep dish wheels. ideally 5x120 but im gonna put spacers anyway so i could use an adapter. any suggestions? anything cheap and common i should search for? also where should i search?,1650329078197,.png,512,512,250,250,1670822675562061,1670822675,7po6WtmcIbQH89NXGoKy2A==,336276,0,looking-for-cheap-17-or-18-inch-deep-dish-wheels,5,0,,,"[{'no': 26157932, 'now': '12/12/22(Mon)00:38:20', 'name': 'Anonymous', 'com': '<a href=""#p26157900"" class=""quotelink"">&gt;&gt;26157900</a><br>I remember these euro market twin engine fieros. Classic GM mistakes: They never brought them here and IIRC they were automatic only, and you could only use one engine at a time.<br>You might find an answer to your wheel question here <a href=""/o/thread/26155626#p26155626"" class=""quotelink"">&gt;&gt;26155626</a><br>but it&#039;s night time in the US so YMMV', 'time': 1670823500, 'resto': 26157900}, {'no': 26157999, 'now': '12/12/22(Mon)01:14:02', 'name': 'Anonymous', 'com': '<a href=""#p26157932"" class=""quotelink"">&gt;&gt;26157932</a><br><span class=""quote"">&gt;these euro market twin engine fieros. Classic GM</span><br>its not a fiero. its just ai generated shit. its not even in correct perspective.', 'time': 1670825642, 'resto': 26157900}, {'no': 26158097, 'now': '12/12/22(Mon)02:26:42', 'name': 'Anonymous', 'com': 'inb4 someone bitches about the mere existence of spacers', 'time': 1670830002, 'resto': 26157900}, {'no': 26158356, 'now': '12/12/22(Mon)05:51:10', 'name': 'Anonymous', 'com': '<a href=""#p26157932"" class=""quotelink"">&gt;&gt;26157932</a><br>How&#039;d the bait taste?', 'time': 1670842270, 'resto': 26157900}, {'no': 26158357, 'now': '12/12/22(Mon)05:52:11', 'name': 'Anonymous', 'com': '<a href=""#p26158356"" class=""quotelink"">&gt;&gt;26158356</a><br><a href=""#p26157999"" class=""quotelink"">&gt;&gt;26157999</a><br>Wrong reply fuck', 'time': 1670842331, 'resto': 26157900}]",1670842331,0.0,0.0
