,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,filedeleted,trip
32,2506728,,,12/08/22(Thu)11:52:20,Anonymous,,"Comfy campsite photos only. Post pitches, bitches.",33667497875_6241469f95_k,.jpg,2048.0,1365.0,250.0,166.0,1670518340678038.0,1670518340,meam9vnndTAnDe4FIn/mlQ==,1317684.0,0,,comfy-campsite-photos-only-post-pitches-bitches,19,5,14.0,4.0,"[{'no': 2507674, 'now': '12/09/22(Fri)21:31:42', 'name': 'Anonymous', 'com': '<a href=""#p2507597"" class=""quotelink"">&gt;&gt;2507597</a><br>There&#039;s a chair in the foreground and a raised bed behind it. I stay 3-4 days at a time during season, my DIY blind is at a cornfield 100 yards away.', 'time': 1670639502, 'resto': 2506728}, {'no': 2507915, 'now': '12/10/22(Sat)13:27:22', 'name': 'Anonymous', 'com': '<a href=""#p2507670"" class=""quotelink"">&gt;&gt;2507670</a><br><span class=""quote"">&gt;Smells like smoke </span><br><span class=""quote"">&gt;not to close</span><br>lol<br><span class=""quote"">&gt;how many burn marks do you see from this shit, compressed image</span><br>mmk<br>Your dad&#039;s tent is too close to the fire. The metric is simple: If it&#039;s dark, and you can see the tent in the firelight, it&#039;s too close.', 'time': 1670696842, 'resto': 2506728}, {'no': 2508490, 'now': '12/11/22(Sun)18:33:04', 'name': 'Anonymous', 'com': '<a href=""#p2507915"" class=""quotelink"">&gt;&gt;2507915</a><br>1. What?<br>2. Zoom in on it. If you&#039;re too dumb to figure that out (you are), I&#039;ll just tell you: there are no holes in it. There are plenty in your brain, though.', 'time': 1670801584, 'resto': 2506728}, {'no': 2508660, 'now': '12/12/22(Mon)01:17:04', 'name': 'Anonymous', 'com': '<a href=""#p2507526"" class=""quotelink"">&gt;&gt;2507526</a><br>You talk like a fag and your shits all retarded', 'time': 1670825824, 'resto': 2506728}, {'no': 2508671, 'now': '12/12/22(Mon)02:00:36', 'name': 'Anonymous', 'com': 'Tarp larp', 'filename': 'received_1327546504743986', 'ext': '.jpg', 'w': 2048, 'h': 1536, 'tn_w': 125, 'tn_h': 93, 'tim': 1670828436471645, 'time': 1670828436, 'md5': 'PyyGsxVGXDyAV5L697104g==', 'fsize': 986292, 'resto': 2506728}]",1670828436,0.0,0.0,,
33,2507483,,,12/09/22(Fri)16:38:42,Anonymous,Retarded question about winter hiking,"So I use my phone for navigation, but I can’t use it unless I take my gloves off since it’s a touchscreen. <br><br>It hasn’t been insanely cold yet, but is there a way people deal with this or get around it or something?",F7459A63-7EE9-420A-B864-E38C3DF9FFE2,.jpg,225.0,225.0,225.0,225.0,1670621922101001.0,1670621922,07lZkBSMTL+0ujL9/t3xpQ==,5234.0,0,,retarded-question-about-winter-hiking,17,2,12.0,1.0,"[{'no': 2507973, 'now': '12/10/22(Sat)15:19:25', 'name': 'Anonymous', 'com': '<a href=""#p2507483"" class=""quotelink"">&gt;&gt;2507483</a><br>Just wear gloves under your mittens. Most of the time they&#039;ll be touchscreen compatible and you should be doing this anyway. You can also print out a map and you won&#039;t even have to take the mittens off.', 'time': 1670703565, 'resto': 2507483}, {'no': 2508080, 'now': '12/10/22(Sat)19:26:45', 'name': 'Anonymous', 'com': '<a href=""#p2507616"" class=""quotelink"">&gt;&gt;2507616</a><br><span class=""quote"">&gt;What, why?</span><br>Because you shouldn&#039;t be navigating trails without a male escort. Ever. You can&#039;t even navigate without complaining about taking your gloves off to use a touch screen. Please die in an avalanche without ever breeding.', 'time': 1670718405, 'resto': 2507483}, {'no': 2508154, 'now': '12/10/22(Sat)22:15:09', 'name': 'Anonymous', 'com': '<a href=""#p2507905"" class=""quotelink"">&gt;&gt;2507905</a><br><span class=""quote"">&gt;have circulatory issues</span><br><span class=""quote"">&gt;go hiking in sub-zero temperatures anyway</span><br>Yeah, clearly we&#039;re the dumb ones here.', 'filename': '1665686576600461', 'ext': '.png', 'w': 585, 'h': 502, 'tn_w': 125, 'tn_h': 107, 'tim': 1670728509121925, 'time': 1670728509, 'md5': 'FgzZdUj+C84Vf2g3FE+zBQ==', 'fsize': 291122, 'resto': 2507483}, {'no': 2508164, 'now': '12/10/22(Sat)22:39:12', 'name': 'Anonymous', 'com': 'Buy a fucking stylus you dumb cunt.', 'time': 1670729952, 'resto': 2507483}, {'no': 2508662, 'now': '12/12/22(Mon)01:23:21', 'name': 'Anonymous', 'com': '<a href=""#p2507483"" class=""quotelink"">&gt;&gt;2507483</a><br>just dont use your phone for navigation?', 'time': 1670826201, 'resto': 2507483}]",1670826201,0.0,0.0,,
34,2503179,,,11/29/22(Tue)14:52:05,Anonymous,,"Help me get laid, where was this photo taken?",Screenshot_20221129_115016_Hinge,.jpg,1019.0,1128.0,225.0,249.0,1669751525730441.0,1669751525,QISceS1YQKxNf5SwyI7nwQ==,262902.0,0,,help-me-get-laid-where-was-this-photo-taken,37,6,32.0,6.0,"[{'no': 2506507, 'now': '12/07/22(Wed)20:19:27', 'name': 'Anonymous', 'com': '<a href=""#p2503267"" class=""quotelink"">&gt;&gt;2503267</a><br><a href=""#p2503288"" class=""quotelink"">&gt;&gt;2503288</a><br>These are not the same places.', 'time': 1670462367, 'resto': 2503179}, {'no': 2506537, 'now': '12/07/22(Wed)21:46:05', 'name': 'Anonymous', 'com': '<a href=""#p2503560"" class=""quotelink"">&gt;&gt;2503560</a><br>They had to kill one and consume her vitality to provide ingredients for all those beauty products.', 'time': 1670467565, 'resto': 2503179}, {'no': 2506539, 'now': '12/07/22(Wed)21:47:22', 'name': 'Anonymous', 'com': '<a href=""#p2504611"" class=""quotelink"">&gt;&gt;2504611</a><br>Hell yeah. It&#039;s not cool to be un-racist any more. Get with the times grandpa.', 'time': 1670467642, 'resto': 2503179}, {'no': 2508385, 'now': '12/11/22(Sun)14:04:40', 'name': 'Anonymous', 'com': '<a href=""#p2506539"" class=""quotelink"">&gt;&gt;2506539</a><br>this. <br>If your not a racist at this point you haven&#039;t been paying attention.', 'time': 1670785480, 'resto': 2503179}, {'no': 2508659, 'now': '12/12/22(Mon)01:00:00', 'name': 'Anonymous', 'com': '<a href=""#p2503179"" class=""quotelink"">&gt;&gt;2503179</a><br><span class=""quote"">&gt;anon requests help getting laid</span><br><span class=""quote"">&gt;gets it</span><br><span class=""quote"">&gt;never replies back, thanks anyone, or posts tits</span><br>Very rude, and many such cases!', 'time': 1670824800, 'resto': 2503179}]",1670824800,0.0,0.0,,
35,2492621,,,11/06/22(Sun)12:12:28,Anonymous,/Out/ings With a Pipe Thread,"Multipurpose Tool Edition<br><br>Feel free to post tobaccos (no weed allowed), pipes, collections, pics of favorite combos for going /out/, pics of what you&#039;re doing with your pipe and any questions you might have.<br><br>Want to get into smoking pipes without spending too much cash?<br>Get a corncob pipe and a pouch of either Captain Black or Half and Half tobacco, available at most drugstores.<br>What you&#039;ll need: pipe, tobacco, lighter or matches, pipe cleaners, and either a regular old nail or a pipe tool (combination tamper, scoop, and small pick).<br>All of these together should run you less than $25, still. God help you.<br><br>Having trouble keeping your pipe lit? Fill it with less tobacco and smoke it slower than you think you need to, lightly tamping as needed when the smoke starts thinning out.<br>If you&#039;re still having trouble, try filling your pipe this way:<br>https://youtu.be/0XHYPso7TXs<br><br><br>Old thread <span class=""deadlink"">&gt;&gt;2434982</span><br>Come on in and get comfy.",frozen lock pipe,.jpg,749.0,1009.0,185.0,250.0,1667754748903246.0,1667754748,cBN1Qc3K7j5o3Dlc+GOBjQ==,172242.0,0,,outings-with-a-pipe-thread,234,42,229.0,42.0,"[{'no': 2508433, 'now': '12/11/22(Sun)16:40:25', 'name': 'Anonymous', 'com': '<a href=""#p2508410"" class=""quotelink"">&gt;&gt;2508410</a><br>Funny thing about that: Smoking used to be considered a treatment for asthma. Some people even still insist it can be. My mother, a nurse since the 70s, says inhaling smoke enough to cough hard is a good way to clear chest congestion.<br><br>Some bad advice seems to stick around far too long.', 'time': 1670794825, 'resto': 2492621}, {'no': 2508434, 'now': '12/11/22(Sun)16:42:46', 'name': 'Anonymous', 'com': '<a href=""#p2508433"" class=""quotelink"">&gt;&gt;2508433</a><br>I have to correct myself a bit here. I just looked it up, because something didn&#039;t quite add up with that recount of information. Asthma cigarettes were herbal, containing usually some form of nightshades. However, I have heard lay people insisting that regular tobacco cigarettes were also effective.', 'time': 1670794966, 'resto': 2492621}, {'no': 2508445, 'now': '12/11/22(Sun)17:20:15', 'name': 'Anonymous', 'com': '<a href=""#p2508434"" class=""quotelink"">&gt;&gt;2508434</a><br>I have asthma and have smoked cigarettes since I was 16. Now that I&#039;m in my mid 30&#039;s and still smoke I really don&#039;t notice my asthma much. They seem to be working a lot better than albuterol thats for damn sure. I always have a spit cup and I expectorate constantly throughout the day. <br><br><a href=""#p2508410"" class=""quotelink"">&gt;&gt;2508410</a><br>Vapor is even worse than smoke for asthma because it&#039;s putting water into your lungs.', 'time': 1670797215, 'resto': 2492621}, {'no': 2508590, 'now': '12/11/22(Sun)21:25:56', 'name': 'Anonymous', 'com': '<a href=""#p2508224"" class=""quotelink"">&gt;&gt;2508224</a><br>Naw they make em with briar too', 'time': 1670811956, 'resto': 2492621}, {'no': 2508653, 'now': '12/12/22(Mon)00:38:55', 'name': 'Anonymous', 'com': '<a href=""#p2508434"" class=""quotelink"">&gt;&gt;2508434</a><br><span class=""quote"">&gt;Asthma cigarettes were herbal, containing usually some form of nightshades.</span><br>Tobacco is a form of nightshade (solanaceae family.) Anyway smoking has long been a cure for various illness. From inhaling incense smoke to smoking tobacco. If anything, smoke is a good expectorant if you need to get something out of your lungs. Obviously it wouldn&#039;t be ideal in all cases but it still works.', 'time': 1670823535, 'resto': 2492621}]",1670823535,0.0,0.0,,
36,2508465,,,12/11/22(Sun)18:06:53,Anonymous,,"How do you guys finance your lives and /out/ activities? Some of you talk of spending a huge amount of time /out/, but presumably have some kind of income going as well. Do you all do short term remote work?",afdsdsf,.png,479.0,430.0,250.0,224.0,1670800013454334.0,1670800013,5xaN00t/lMraf5vSOKJTeA==,558518.0,0,,how-do-you-guys-finance-your-lives-and-out,23,0,18.0,0.0,"[{'no': 2508616, 'now': '12/11/22(Sun)22:27:40', 'name': 'Anonymous', 'com': 'Litrally mostly just go day or half day trips.<br>Did alot while a student.', 'time': 1670815660, 'resto': 2508465}, {'no': 2508617, 'now': '12/11/22(Sun)22:28:52', 'name': 'Anonymous', 'com': '<a href=""#p2508507"" class=""quotelink"">&gt;&gt;2508507</a><br>Nice, yeah I used to hide / walk more. Even as a fit guy there are places I&#039;m not going on my own due to predators or deranged humans.', 'time': 1670815732, 'resto': 2508465}, {'no': 2508637, 'now': '12/11/22(Sun)23:24:43', 'name': 'Anonymous', 'com': 'Work in the outdoor industry if youre a poorfag or have any basic marketing or business skills. You get industry discoutns and access to the outdoors that normies pay out the ass to get.', 'time': 1670819083, 'resto': 2508465}, {'no': 2508649, 'now': '12/12/22(Mon)00:21:46', 'name': 'Anonymous', 'com': 'I took a paycut for my current job. I&#039;m a traffic technician for a municipality. My schedule is 7-3. M-F. With like 15 paid holidays a year. And we acrue a ridiculous stupid amount of paid vacation and sick time. Like right now. My department is rotating taking random days off because we have so much vacation we have to burn before the New Year. <br><br>The job is cool. It&#039;s being an electrician. Mixed with being an IT tech. Half my day is spent at my desk with dual monitor set ups. Meetings with traffic and civil engineers. And the other half is field time. Wether it&#039;s a call out or just preventive maintenance at intersection cabinets. <br><br>Stress free most of the time. Pay is still good. And I live in an area with absolutely wonderful outdoor selection.', 'time': 1670822506, 'resto': 2508465}, {'no': 2508651, 'now': '12/12/22(Mon)00:33:12', 'name': 'Anonymous', 'com': '<a href=""#p2508465"" class=""quotelink"">&gt;&gt;2508465</a><br>Retired from the military', 'time': 1670823192, 'resto': 2508465}]",1670823192,0.0,0.0,,
37,2508085,,,12/10/22(Sat)19:41:33,Anonymous,,Have you ever got turnt around and lost your way? How did you get back?,feature-image-child-crying-alone-2,.jpg,1200.0,675.0,250.0,140.0,1670719293698376.0,1670719293,FuhcVfCGuA36OGMRB8IRbQ==,254563.0,0,,have-you-ever-got-turnt-around-and-lost-your-way,5,0,,,"[{'no': 2508431, 'now': '12/11/22(Sun)16:35:35', 'name': 'Anonymous', 'com': '<a href=""#p2508085"" class=""quotelink"">&gt;&gt;2508085</a><br>Yes. Once, like 20 years ago. I backtracked to the last place I knew where I was and realized I&#039;d crossed a road that wasn&#039;t on the map. I was just learning land navigation. Haven&#039;t been lost since. I Exclusively use paper mapsq, even driving.', 'time': 1670794535, 'resto': 2508085}, {'no': 2508638, 'now': '12/11/22(Sun)23:26:57', 'name': 'Anonymous', 'com': 'No I never got lost, because I’m not a friggin IDIOT! Only times I’ve been lost was in the city before smartphones were a thing', 'time': 1670819217, 'resto': 2508085}, {'no': 2508640, 'now': '12/11/22(Sun)23:31:09', 'name': 'Anonymous', 'com': '<a href=""#p2508085"" class=""quotelink"">&gt;&gt;2508085</a><br>yea but i 360d and walked out', 'time': 1670819469, 'resto': 2508085}, {'no': 2508642, 'now': '12/11/22(Sun)23:36:47', 'name': 'Anonymous', 'com': 'yes<br>alltrails, you point the phone at where the trail is, and walk', 'time': 1670819807, 'resto': 2508085}, {'no': 2508646, 'now': '12/11/22(Sun)23:47:32', 'name': 'Anonymous', 'com': 'One time I walked like 50m off the trail to take a shit and couldn&#039;t find it again when I spun around, luckily there was a stream there so I just shat in there for a couple of days and people at the town tracked me back by the floating bits', 'time': 1670820452, 'resto': 2508085}]",1670820452,0.0,0.0,,
38,2503231,,,11/29/22(Tue)17:26:28,Anonymous,Beginner Gear General - Poor Fag Edition,"I wanted to make a thread for General new gear and where to get it. Also for Larpers and Woodsman alike to avoid the pit falls I fell into when choosing gear for the first time over 2 years ago. i&#039;ll try to aim for a good gear loadout under 200$. Also any criticisms or better options should be talked about here. <br><br>Ill first go by stating the things no anon should ever cheap out on.<br><span class=""quote"">&gt;boots</span><br>you should aim for boots over 200$ price range eventually, but if you are just getting started buy military surplus boots. But If you can avoid do not buy the recent desert tan army boots that run 20$. They have very thick soles and no ankle support , its a good way to give yourself a sprang ankle, they are also not very breathable or water proof. But I used them for a year so they are workable but do have a week or 2 brake in period.<br><br>Next is backpacks I see many on here choose a military surplus backpack, My experience with a US military molle 2 rucksack is that its usable at best but too heavy. Military sacrifices price and quality material for an indestructible pack that an idiot can&#039;t destroy. You are better off with a used frame backpack or internal backpack. <br><br>I have found that most milltary backpacks are around 65-120$ a used backpacking bag is around 20$ on shopgoodwill.com. I hear you say that you don&#039;t want to stand out in the woods , I would say their are plenty of waterproof rain flys for your bag that come in non-IRreflective camo for 45$ or a Chinese rain fly for 10$ on amazon, which are better than what ever camo you were thinking about buying any how. A good capacity is 65 liters, this is considered 3 day bag but if your smart you can fit rations for a full week in it. 55 liters is fine but the limit for fitting a sleeping bag and not limiting the gear you might want to take. Finally you need to have a waist support for your backpack as well as a frame , this should go without saying a duffel bag is a pain to hull around 5 miles.",secondmistake,.jpg,1536.0,2048.0,187.0,250.0,1669760788941772.0,1669760788,JEXrHsTMneulq/XreKGk9g==,755994.0,0,,beginner-gear-general-poor-fag-edition,57,12,52.0,12.0,"[{'no': 2508375, 'now': '12/11/22(Sun)13:51:22', 'name': 'Anonymous', 'com': '<a href=""#p2508180"" class=""quotelink"">&gt;&gt;2508180</a><br>he&#039;s not, my medium alice pack with straps was $80 and the frame is another 50 at least depending on the condition, at least at my surplus stores', 'time': 1670784682, 'resto': 2503231}, {'no': 2508530, 'now': '12/11/22(Sun)19:50:28', 'name': 'Anonymous', 'com': '<a href=""#p2503294"" class=""quotelink"">&gt;&gt;2503294</a><br>You sound like an utter fag', 'time': 1670806228, 'resto': 2503231}, {'no': 2508534, 'now': '12/11/22(Sun)19:54:43', 'name': 'Anonymous', 'com': '<a href=""#p2503501"" class=""quotelink"">&gt;&gt;2503501</a><br>Youre talking about a group of people that get triggered if someone else calls someone else a pronoun they dont like. theyve never been uncomfortable in their entire life. they literally live in a manmade hellpscape matrix because they cant survive in reality/nature', 'time': 1670806483, 'resto': 2503231}, {'no': 2508603, 'now': '12/11/22(Sun)21:52:59', 'name': 'Anonymous', 'com': '<a href=""#p2508056"" class=""quotelink"">&gt;&gt;2508056</a><br>They&#039;re only washed in the USA, Japan, Scandinavia and Australia. You could always go to a farm if you live in one of those places.', 'time': 1670813579, 'resto': 2503231}, {'no': 2508644, 'now': '12/11/22(Sun)23:39:50', 'name': 'Anonymous', 'com': '<a href=""#p2507694"" class=""quotelink"">&gt;&gt;2507694</a><br>merrells but if you&#039;re not in a hurry all that shit that retails 220-250 like 4d gtx&#039;s, renegades etc can be found on sale less than 200.', 'time': 1670819990, 'resto': 2503231}]",1670819990,0.0,0.0,,
39,2508331,,,12/11/22(Sun)12:00:30,Anonymous,,Ireland is set to face -10 degrees weather and imma be there in my tent. Not snowing yet so not maximum comfiness yet just a slippy frost. Wish me luck bros might freeze to death,,,,,,,,1670778030,,,0,,ireland-is-set-to-face-10-degrees-weather-and,17,3,12.0,2.0,"[{'no': 2508387, 'now': '12/11/22(Sun)14:08:16', 'name': 'Anonymous', 'com': '<a href=""#p2508376"" class=""quotelink"">&gt;&gt;2508376</a><br>I think Ireland has blacks too though? I’d rather freeze to death than be locked up desu', 'time': 1670785696, 'resto': 2508331}, {'no': 2508394, 'now': '12/11/22(Sun)14:17:24', 'name': 'Anonymous', 'com': '<a href=""#p2508370"" class=""quotelink"">&gt;&gt;2508370</a><br>Well if that&#039;s the case you&#039;re excused lol. Don&#039;t you have a job or something?', 'time': 1670786244, 'resto': 2508331}, {'no': 2508402, 'now': '12/11/22(Sun)14:38:31', 'name': 'Anonymous', 'com': '<a href=""#p2508387"" class=""quotelink"">&gt;&gt;2508387</a><br>could you sleep in a church? or travel south to Mallorca during winter if you have enough money for a plane ticket', 'filename': '85529696854989', 'ext': '.png', 'w': 736, 'h': 693, 'tn_w': 125, 'tn_h': 117, 'tim': 1670787511898530, 'time': 1670787511, 'md5': 'hNAPN+4RphWPvedJUuHFCA==', 'fsize': 52574, 'resto': 2508331}, {'no': 2508437, 'now': '12/11/22(Sun)16:51:01', 'name': 'Anonymous', 'com': '<a href=""#p2508387"" class=""quotelink"">&gt;&gt;2508387</a><br>We have travellers which are gypsy&#039;s. Basically white nigs. Some are sound but as I said gyppos<br><a href=""#p2508402"" class=""quotelink"">&gt;&gt;2508402</a><br>They used to do this and now they lock the churches at night to prevent stealing<br><a href=""#p2508376"" class=""quotelink"">&gt;&gt;2508376</a><br>I&#039;d like to keep my ass at its current tightness..<br>My favourite part of winter is hearing the crunch when I step. Took my earphones out to enjoy the sound. Its almost as satisfying as rain hitting your wall when out', 'time': 1670795461, 'resto': 2508331}, {'no': 2508639, 'now': '12/11/22(Sun)23:30:52', 'name': 'Anonymous', 'com': '<a href=""#p2508437"" class=""quotelink"">&gt;&gt;2508437</a><br><span class=""quote"">&gt;They used to do this and now they lock the churches at night to prevent stealing</span><br>In the USA, a lot of churches have their own hostel for people to stay in during the winter or during severe weather, could be worth looking in to.', 'time': 1670819452, 'resto': 2508331}]",1670819452,0.0,0.0,1.0,
40,2506718,,,12/08/22(Thu)11:18:03,Anonymous,,How do I get into foraging without killing myself? The descriptions and pictures never match with reality.,s-l500,.jpg,500.0,500.0,250.0,250.0,1670516283058619.0,1670516283,hFLPSvVIKi9l24gsyMt7Ww==,47492.0,0,,how-do-i-get-into-foraging-without-killing-myself,133,23,128.0,21.0,"[{'no': 2508489, 'now': '12/11/22(Sun)18:32:53', 'name': 'Anonymous', 'com': '<a href=""#p2508483"" class=""quotelink"">&gt;&gt;2508483</a>', 'filename': 'Madtreequeer', 'ext': '.jpg', 'w': 540, 'h': 600, 'tn_w': 112, 'tn_h': 125, 'tim': 1670801573927918, 'time': 1670801573, 'md5': 'Ro8bVf78AfuLzzs69eCVnw==', 'fsize': 84388, 'resto': 2506718}, {'no': 2508497, 'now': '12/11/22(Sun)18:48:06', 'name': 'Anonymous', 'com': '<a href=""#p2508489"" class=""quotelink"">&gt;&gt;2508489</a><br>lmao, stay mad, kid', 'time': 1670802486, 'resto': 2506718}, {'no': 2508499, 'now': '12/11/22(Sun)18:52:49', 'name': 'Anonymous', 'com': '<a href=""#p2508481"" class=""quotelink"">&gt;&gt;2508481</a><br><span class=""quote"">&gt;I&#039;m so insecure I have to throw my credentials in people&#039;s faces as well as constantly build up, and stroke, my own ego.</span>', 'filename': '1664581980215386', 'ext': '.png', 'w': 550, 'h': 939, 'tn_w': 73, 'tn_h': 125, 'tim': 1670802769817583, 'time': 1670802769, 'md5': 'dm85nW/jBdZBNsaReqETfg==', 'fsize': 143235, 'resto': 2506718}, {'no': 2508612, 'now': '12/11/22(Sun)22:20:27', 'name': 'Anonymous', 'com': '<a href=""#p2507484"" class=""quotelink"">&gt;&gt;2507484</a><br>Yeah I don&#039;t think that&#039;s actually a yew native to the US In the pic. I mostly spend my time on the rocky mountains, and all the plant life is pretty simmilar across the whole Rockies with desert guides having most everything in the desert, and forest guides covering most of what&#039;s at high elevation.<br>In the Rockies for foraging it&#039;s very important to rely on trees. Your main edible green is going to be pine shoots in the spring time, and you&#039;re main calories are going to be pine nuts, acorns, and walnuts.', 'time': 1670815227, 'resto': 2506718}, {'no': 2508636, 'now': '12/11/22(Sun)23:24:05', 'name': 'Anonymous', 'com': 'So we’ve finally come face to face with the villain of /out/...', 'time': 1670819045, 'resto': 2506718}]",1670819045,0.0,0.0,,
41,2504895,,,12/03/22(Sat)19:04:41,Anonymous,,"Can &#039;Cowboy&#039; boots be good for hiking?<br><span class=""quote"">&gt;inb4 muh ankle support</span><br>Is that all?",boot,.png,876.0,865.0,250.0,246.0,1670112281060352.0,1670112281,1snG9y6u/W7YSh2v8EFFJQ==,886984.0,0,,can-cowboy-boots-be-good-for-hiking,57,6,52.0,6.0,"[{'no': 2508436, 'now': '12/11/22(Sun)16:44:49', 'name': 'Anonymous', 'com': '<a href=""#p2508315"" class=""quotelink"">&gt;&gt;2508315</a><br><span class=""quote"">&gt;Being this pathetic</span>', 'time': 1670795089, 'resto': 2504895}, {'no': 2508455, 'now': '12/11/22(Sun)17:37:53', 'name': 'Anonymous', 'com': '<a href=""#p2508436"" class=""quotelink"">&gt;&gt;2508436</a><br><br>newfag.', 'time': 1670798273, 'resto': 2504895}, {'no': 2508504, 'now': '12/11/22(Sun)19:00:50', 'name': 'Anonymous', 'com': 'Yes. i do it all the time.', 'time': 1670803250, 'resto': 2504895}, {'no': 2508592, 'now': '12/11/22(Sun)21:28:14', 'name': 'Anonymous', 'com': '<a href=""#p2504895"" class=""quotelink"">&gt;&gt;2504895</a><br>Anon you clearly know absolutely nothing about boot types or boots themselves. Who are you trying to impress on this &quot;hiking&quot; trail anyway? Are you planning on riding a horse to/on the trail? You&#039;ve gotta realize how fuckin retarded your question is.', 'time': 1670812094, 'resto': 2504895}, {'no': 2508633, 'now': '12/11/22(Sun)23:14:43', 'name': 'Anonymous', 'com': '<a href=""#p2508316"" class=""quotelink"">&gt;&gt;2508316</a><br>All the time.', 'time': 1670818483, 'resto': 2504895}]",1670818483,0.0,0.0,,
42,2508550,,,12/11/22(Sun)20:17:45,Anonymous,Bivy tent that won&#039;t break the bank,Been in the market for a bivy tent for a while what would you guys recommend for a budget of $200. Preferably something green or cammo for /k/ommando reasons.,maximilian_pank_ins_2020_480x480,.jpg,480.0,480.0,250.0,250.0,1670807865226234.0,1670807865,04/7TC3e2GY5Ua+Mif3NgQ==,88028.0,0,,bivy-tent-that-wont-break-the-bank,15,2,10.0,1.0,"[{'no': 2508600, 'now': '12/11/22(Sun)21:45:11', 'name': 'Anonymous', 'com': '<a href=""#p2508597"" class=""quotelink"">&gt;&gt;2508597</a><br>Can you rephrase this so that human beings can understand it', 'time': 1670813111, 'resto': 2508550}, {'no': 2508601, 'now': '12/11/22(Sun)21:48:17', 'name': 'Anonymous', 'com': '<a href=""#p2508551"" class=""quotelink"">&gt;&gt;2508551</a><br><span class=""quote"">&gt;ACU </span><br>Would it be possible to wash out the camo by dyeing it green or black or would that not work on the bivys material?', 'time': 1670813297, 'resto': 2508550}, {'no': 2508604, 'now': '12/11/22(Sun)22:00:14', 'name': 'Anonymous', 'com': '<a href=""#p2508600"" class=""quotelink"">&gt;&gt;2508600</a><br>Probably', 'filename': '62749217', 'ext': '.jpg', 'w': 586, 'h': 338, 'tn_w': 125, 'tn_h': 72, 'tim': 1670814014883947, 'time': 1670814014, 'md5': '/pSIrGm06EQmqKnXQVlBKQ==', 'fsize': 46635, 'resto': 2508550}, {'no': 2508605, 'now': '12/11/22(Sun)22:04:44', 'name': 'Anonymous', 'com': '<a href=""#p2508601"" class=""quotelink"">&gt;&gt;2508601</a><br>You&#039;ll fuck up the DWR coating, and probably the breathability if you try to dye it.', 'time': 1670814284, 'resto': 2508550}, {'no': 2508632, 'now': '12/11/22(Sun)23:08:18', 'name': 'Anonymous', 'com': '<a href=""#p2508605"" class=""quotelink"">&gt;&gt;2508605</a><br>You can just spray more dwr on. Besides, it&#039;s really only breathable when it&#039;s dry. Once the top is saturated it stops breathing anyway', 'time': 1670818098, 'resto': 2508550}]",1670818098,0.0,0.0,,
43,2476498,,,10/07/22(Fri)17:33:28,Anonymous,,"Thoughts on sailboats? Any tips for a novice sailor? <br><br>I&#039;m in the Puget Sound, Washington area &amp; I&#039;ve been contemplating getting a sailboat for years. <br>I seem to have a good opportunity since my uncle is selling one of his sailboats. I&#039;ll go sailing tomorrow morning for a couple hours for the first time. <br>The boat is a Catalina 27. <br><br>Anyone here has experience &amp; knowledge they&#039;d like to share?",Cat27,.jpg,1200.0,1564.0,191.0,250.0,1665178408478338.0,1665178408,JUrhe4Uy68jSys1uvexELA==,309291.0,0,,thoughts-on-sailboats-any-tips-for-a-novice,88,14,83.0,14.0,"[{'no': 2505928, 'now': '12/05/22(Mon)23:45:08', 'name': 'Anonymous', 'com': '<a href=""#p2505912"" class=""quotelink"">&gt;&gt;2505912</a><br>Have you sailed, like ever? Can you read a chart? Do you have the slightest clue what living on a boat is like?', 'time': 1670301908, 'resto': 2476498}, {'no': 2505929, 'now': '12/05/22(Mon)23:47:24', 'name': 'Anonymous', 'com': '<a href=""#p2499139"" class=""quotelink"">&gt;&gt;2499139</a><br>A boat race is when 2 sail boats meet.', 'time': 1670302044, 'resto': 2476498}, {'no': 2507501, 'now': '12/09/22(Fri)16:53:13', 'name': 'Anonymous', 'com': 'I&#039;m starting to be convinced owning a boat sucks. There goes one of my hopes and dreams.', 'time': 1670622793, 'resto': 2476498}, {'no': 2507591, 'now': '12/09/22(Fri)18:51:45', 'name': 'Anonymous', 'com': '<a href=""#p2494337"" class=""quotelink"">&gt;&gt;2494337</a><br>shitting at sea sucks man. pissing, on the other hand, can be lit', 'time': 1670629905, 'resto': 2476498}, {'no': 2508631, 'now': '12/11/22(Sun)23:01:57', 'name': 'Anonymous', 'com': '<a href=""#p2507501"" class=""quotelink"">&gt;&gt;2507501</a><br>There&#039;s always no shortage of folks to say everything sucks when you want to do something. Sometimes they&#039;re right sometimes they&#039;re wrong. Either way they won&#039;t be there', 'time': 1670817717, 'resto': 2476498}]",1670817717,0.0,0.0,,
