,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies,trip
31,10785657,,,07/09/22(Sat)15:16:10,Anonymous,Sexual harassment meme or reality?,"Is Sexual harassment real or just a meme used by cosplayers to try to be funny, it seems like it judging from their pictures.<br><br>I never seen anyone get molested. Also it seems like something pretty hard to do given the amount of people and also cameras. Unless your con has open areas where there isn&#039;t a lot of people or cameras probability you can get away with it.",real,.jpg,3900,2600,249,166,1657394170394,1657394170,6LaNVlZ6S3Gkjve+thLEmQ==,577761,0,,sexual-harassment-meme-or-reality,234,33,1670830284,0.0,0.0,229.0,32.0,"[{'no': 10821550, 'now': '12/01/22(Thu)12:36:19', 'name': 'Anonymous', 'com': '<a href=""#p10815965"" class=""quotelink"">&gt;&gt;10815965</a><br><span class=""quote"">&gt;This all happened in front of me, so it&#039;s not bullshit</span><br><br>I feel that<br><span class=""quote"">&gt;At con with my now ex</span><br><span class=""quote"">&gt;She was really cute, had big tits and a big ass</span><br><span class=""quote"">&gt;Both of us are in cosplay</span><br><span class=""quote"">&gt;Some guy walks up to us an asks for a picture</span><br><span class=""quote"">&gt;Demands I get out of frame</span><br><span class=""quote"">&gt;Takes a bunch of pictures of her</span><br><span class=""quote"">&gt;Basically implies he&#039;s going to jerk off to the pictures later</span>', 'time': 1669916179, 'resto': 10785657}, {'no': 10821552, 'now': '12/01/22(Thu)12:58:06', 'name': 'Anonymous', 'com': '<a href=""#p10821550"" class=""quotelink"">&gt;&gt;10821550</a><br>why did you let that happen? you sound like a faggot. there was no reason to give in to his demands to leave the picture or stand there while he insinuated he would jerk off. no wonder she’s your ex now, beta.', 'time': 1669917486, 'resto': 10785657}, {'no': 10822035, 'now': '12/04/22(Sun)12:43:00', 'name': 'Anonymous', 'com': 'It seems from this thread it&#039;s just a meme<br>The worst that has happened to most people is some rude comments <br>Cons get a bad rep', 'filename': '1439578303999', 'ext': '.jpg', 'w': 960, 'h': 1280, 'tn_w': 93, 'tn_h': 125, 'tim': 1670175780772903, 'time': 1670175780, 'md5': 'HZPA54pirJHpTqOjZ9bniQ==', 'fsize': 250106, 'resto': 10785657}, {'no': 10822335, 'now': '12/06/22(Tue)04:16:23', 'name': 'Anonymous', 'com': '<a href=""#p10785816"" class=""quotelink"">&gt;&gt;10785816</a><br><span class=""quote"">&gt;What would you classify that as?</span><br><br>IRL horny posting', 'time': 1670318183, 'resto': 10785657}, {'no': 10823210, 'now': '12/12/22(Mon)02:31:24', 'name': 'Anonymous', 'com': '<a href=""#p10785805"" class=""quotelink"">&gt;&gt;10785805</a><br><span class=""quote"">&gt;normal girls like me</span><br><br>nice larp fag', 'time': 1670830284, 'resto': 10785657}]",
32,10819227,,,11/19/22(Sat)15:39:29,Anonymous,Lolita inspo thread,A Lolita in the ita thread suggested that we need a new inspo thread and she&#039;s right.<br>Post you favourite coords and maybe what exactly you love about them.<br>All Lolita styles.,IMG_20221119_213718,.png,1200,1197,250,249,1668890369962203,1668890369,dQCGHFY5BRZ83AuuXHR9Qw==,1610934,0,,lolita-inspo-thread,254,102,1670829156,0.0,0.0,249.0,102.0,"[{'no': 10822955, 'now': '12/10/22(Sat)12:02:04', 'name': 'Anonymous', 'com': '<a href=""#p10822892"" class=""quotelink"">&gt;&gt;10822892</a><br>Are those rabbit heels ? Kind of weird but also kind of stylish', 'time': 1670691724, 'resto': 10819227}, {'no': 10822990, 'now': '12/10/22(Sat)16:52:53', 'name': 'Anonymous', 'com': '<a href=""#p10822921"" class=""quotelink"">&gt;&gt;10822921</a><br>gloiresoleil owns rusanjinroom? til', 'time': 1670709173, 'resto': 10819227}, {'no': 10823003, 'now': '12/10/22(Sat)17:58:31', 'name': 'Anonymous', 'com': '<a href=""#p10822955"" class=""quotelink"">&gt;&gt;10822955</a><br>They&#039;re from Irregular Choice, they&#039;ve done various character heels over the years', 'time': 1670713111, 'resto': 10819227}, {'no': 10823193, 'now': '12/12/22(Mon)00:26:48', 'name': 'Anonymous', 'com': '<a href=""#p10822873"" class=""quotelink"">&gt;&gt;10822873</a><br>you&#039;re mad someone is posting inspo in the inspo thread? I knew cgl went downhill but this is fucking ridiculous.', 'time': 1670822808, 'resto': 10819227}, {'no': 10823208, 'now': '12/12/22(Mon)02:12:36', 'name': 'Anonymous', 'com': '<a href=""#p10823193"" class=""quotelink"">&gt;&gt;10823193</a><br>It wouldn&#039;t be cgl if not every single Lolita thread was derailed by some Lolitas having a fit -_-', 'time': 1670829156, 'resto': 10819227}]",
33,10815197,,,10/29/22(Sat)22:51:19,Anonymous,,I need a cosplay gf or I will die. Has anyone here actually gotten one and how?,il_fullxfull.3072502882_owww,.jpg,578,726,199,250,1667098279549387,1667098279,DnL8jarUz6xXPOT4RGwEDw==,101100,0,,i-need-a-cosplay-gf-or-i-will-die-has-anyone-here,103,23,1670828601,0.0,0.0,98.0,22.0,"[{'no': 10822492, 'now': '12/07/22(Wed)10:49:24', 'name': 'Anonymous', 'com': '<a href=""#p10816148"" class=""quotelink"">&gt;&gt;10816148</a>', 'filename': 'black mage boner', 'ext': '.jpg', 'w': 504, 'h': 504, 'tn_w': 125, 'tn_h': 125, 'tim': 1670428164314012, 'time': 1670428164, 'md5': 'nJTtr/4hSHjv8a6NmdxKZQ==', 'fsize': 37399, 'resto': 10815197}, {'no': 10822566, 'now': '12/07/22(Wed)21:23:10', 'name': 'Anonymous', 'com': '<a href=""#p10815197"" class=""quotelink"">&gt;&gt;10815197</a><br>Me too but i live in japan', 'time': 1670466190, 'resto': 10815197}, {'no': 10822593, 'now': '12/08/22(Thu)03:45:17', 'name': 'Anonymous', 'com': '<a href=""#p10820616"" class=""quotelink"">&gt;&gt;10820616</a><br>It captures her crazy vibes', 'time': 1670489117, 'resto': 10815197}, {'no': 10823049, 'now': '12/11/22(Sun)07:43:58', 'name': 'Hitman Monaghan', 'com': '<a href=""#p10819450"" class=""quotelink"">&gt;&gt;10819450</a><br>Can’t say that I do. Then again, I don’t go to cons to “get laid”. Out of curiosity, what cosplay do you wear to get these invitations?', 'time': 1670762638, 'resto': 10815197}, {'no': 10823205, 'now': '12/12/22(Mon)02:03:21', 'name': 'Anonymous', 'com': '<a href=""#p10820116"" class=""quotelink"">&gt;&gt;10820116</a><br>High if youre also hot. Otherwise most gay cosplayers are bi and poly so you better put your jealousy aside and just be poly', 'time': 1670828601, 'resto': 10815197}]",
34,10784560,,,07/06/22(Wed)21:32:12,Anonymous,Australia Thread,"Looking to buy SMASH 2022 tickets, willing to pay a very decent price if you wanna sell or know anyone who&#039;s thinking about selling.<br>DM me: BIG sleepy#6603",Flag_of_Australia_(converted).svg,.png,510,255,250,125,1657157532472,1657157532,w1qpquBVWOMnROtNbntmzw==,9672,0,,australia-thread,91,13,1670825473,0.0,0.0,86.0,13.0,"[{'no': 10820911, 'now': '11/27/22(Sun)20:55:34', 'name': 'Anonymous', 'com': '<a href=""#p10812967"" class=""quotelink"">&gt;&gt;10812967</a><br>Funny story - BlessRNG now manages socials for JAV stars. Every time someone gets Me Too-ed here they just start working with sex workers like the Big Camera guy', 'time': 1669600534, 'resto': 10784560}, {'no': 10820918, 'now': '11/27/22(Sun)22:10:52', 'name': 'Anonymous', 'com': 'Any bio female who can pull-off constantly going out in public dressed as dark magician girl who lives in Adelaide want to be my gf?<br>I am hammering away at the mystic arts and can be your dark magician.', 'time': 1669605052, 'resto': 10784560}, {'no': 10821017, 'now': '11/28/22(Mon)19:44:29', 'name': 'Anonymous', 'com': '<a href=""#p10820911"" class=""quotelink"">&gt;&gt;10820911</a><br>lol what? This can&#039;t be true', 'time': 1669682669, 'resto': 10784560}, {'no': 10823141, 'now': '12/11/22(Sun)18:53:04', 'name': 'Anonymous', 'com': '<a href=""#p10821017"" class=""quotelink"">&gt;&gt;10821017</a><br>BlessRNG manages socials for June Lovejoy, a JAV actress.', 'time': 1670802784, 'resto': 10784560}, {'no': 10823199, 'now': '12/12/22(Mon)01:11:13', 'name': 'Anonymous', 'com': '<a href=""#p10811058"" class=""quotelink"">&gt;&gt;10811058</a><br>Ffs not this asshole again', 'time': 1670825473, 'resto': 10784560}]",
35,10803045,,,08/28/22(Sun)20:54:14,Anonymous,Taobao Thread: Incoming Holidays Edition,"Last thread already hit sage <span class=""deadlink"">&gt;&gt;10726943</span><br><br>Guides:<br>https://www.howtotao.com/<br><br>Taobao Dictionary:<br>https://docs.google.com/spreadsheet<wbr>/ccc?key=0Ams6Fl3miZSndGZIUnY0eGlud<wbr>FBMYVJpTF8yTWwzTEE<br><br>Store Spreadsheet:<br>https://docs.google.com/spreadsheet<wbr>s/d/1EKZhOppV8_FMyFg9BCYhPbaELtFc9X<wbr>V2aNEqzctw108/edit?usp=sharing<br><br>Budgeting Spreadsheet Template:<br>https://docs.google.com/spreadsheet<wbr>/ccc?key=0AlgllpMiw3VNdG9qTGMwTG1sO<wbr>G5SbU9KUGpBUVdsV3c&amp;usp=sharing<br><br>Translator Plugins:<br>https://addons.mozilla.org/en-US/fi<wbr>refox/addon/traduzir-paginas-web/<br>https://chrome.google.com/webstore/<wbr>detail/zhongwen-chinese-english/kkm<wbr>lkkjojmombglmlpbpapmhcaljjkde<br><br>Image-to-Text-Converter:<br>https://www.newocr.com/",279016052_2606200989519487_4914208117010845798_n,.jpg,1630,630,250,96,1661734454172671,1661734454,lHvLikugTlgUJJaHn4zouQ==,179680,0,,taobao-thread-incoming-holidays-edition,163,27,1670818309,0.0,0.0,158.0,25.0,"[{'no': 10822740, 'now': '12/09/22(Fri)02:49:12', 'name': 'Anonymous', 'com': '<a href=""#p10822734"" class=""quotelink"">&gt;&gt;10822734</a><br>No because that&#039;s how they make money.', 'time': 1670572152, 'resto': 10803045}, {'no': 10822749, 'now': '12/09/22(Fri)03:50:22', 'name': 'Anonymous', 'com': '<a href=""#p10822223"" class=""quotelink"">&gt;&gt;10822223</a><br>Quick image search on Taobao shows a couple of stores selling it. Up to you to check and see who is the original and which are knock-offs and liquidators/ redistributors.', 'filename': 'Screenshot_20221209-004729', 'ext': '.jpg', 'w': 1440, 'h': 2512, 'tn_w': 71, 'tn_h': 125, 'tim': 1670575822338178, 'time': 1670575822, 'md5': 'xXhtAuib67MzuNJB2AD0Og==', 'fsize': 1557738, 'resto': 10803045}, {'no': 10822936, 'now': '12/10/22(Sat)10:21:36', 'name': 'Anonymous', 'com': 'Is sea mail shipping to the US backed up right now? I saw anons further up thread saying it was backed up to Europe but saw a thread on Reddit from 6 months ago saying it only took about a month and a half for consolidated sea shipping to arrive in the USA (I&#039;m also on the east coast if that matters, so it would have a long way to travel over land after arriving in a seaport on the west coast). <br>I&#039;m not in a rush to get my package, and it&#039;s going to weigh enough that I don&#039;t think it will be worth it to pay for airmail, but I wanted an idea of how long I&#039;d be waiting.', 'time': 1670685696, 'resto': 10803045}, {'no': 10822946, 'now': '12/10/22(Sat)11:43:00', 'name': 'Anonymous', 'com': '<a href=""#p10822936"" class=""quotelink"">&gt;&gt;10822936</a><br>It took me roughly 2-3 months to receive my seamail package, not too bad considering people in Europe have to wait 6+ months for theirs', 'time': 1670690580, 'resto': 10803045}, {'no': 10823180, 'now': '12/11/22(Sun)23:11:49', 'name': 'Anonymous', 'com': 'I bought some pieces from Little Dipper including this OP, I&#039;m wondering if there&#039;s a site with reviews for the brand? Hoping for decent construction and silhouette from them.', 'filename': 'efde6f633f', 'ext': '.jpg', 'w': 800, 'h': 967, 'tn_w': 103, 'tn_h': 125, 'tim': 1670818309243208, 'time': 1670818309, 'md5': 'OyxdJVDMOuKvDxBNqmOtiQ==', 'fsize': 183623, 'resto': 10803045}]",
36,10799005,,,08/14/22(Sun)19:22:49,Anonymous,,Here&#039;s your satsuki bros.,Satsuki Coco,.jpg,1660,1660,250,250,1660519369148196,1660519369,6Ba+SW65X3uS/gIYkB79Ig==,1098008,0,,heres-your-satsuki-bros,71,19,1670816212,0.0,0.0,66.0,18.0,"[{'no': 10820990, 'now': '11/28/22(Mon)16:24:11', 'name': 'Anonymous', 'com': '<a href=""#p10799054"" class=""quotelink"">&gt;&gt;10799054</a><br>man or not still would smash', 'time': 1669670651, 'resto': 10799005}, {'no': 10822093, 'now': '12/04/22(Sun)17:26:35', 'name': 'Anonymous', 'filename': '11011111_960109707343877_6721108330706402005_o', 'ext': '.jpg', 'w': 1366, 'h': 2048, 'tn_w': 83, 'tn_h': 125, 'tim': 1670192795083041, 'time': 1670192795, 'md5': 'hqhbr3BZC3yFmmc6Vl1PjQ==', 'fsize': 412670, 'resto': 10799005}, {'no': 10822800, 'now': '12/09/22(Fri)14:26:44', 'name': 'Anonymous', 'com': '<a href=""#p10818414"" class=""quotelink"">&gt;&gt;10818414</a><br>but it literally is you retarded fucking nigger', 'time': 1670614004, 'resto': 10799005}, {'no': 10822802, 'now': '12/09/22(Fri)14:28:23', 'name': 'Anonymous', 'com': '<a href=""#p10799021"" class=""quotelink"">&gt;&gt;10799021</a><br>yea', 'time': 1670614103, 'resto': 10799005}, {'no': 10823175, 'now': '12/11/22(Sun)22:36:52', 'name': 'Anonymous', 'com': '<a href=""#p10799119"" class=""quotelink"">&gt;&gt;10799119</a><br>&quot;megumin&quot;&#039;s schnoz...', 'time': 1670816212, 'resto': 10799005}]",
37,10815880,,,11/03/22(Thu)12:33:30,Anonymous,Lolita/Cosplay Organization,How do you organize your hobby wardrobe?<br><br>I&#039;ve been playing around with reorganizing mine and would love to see some fun ideas!,tumblr_m6z1spVwwZ1qe1zcro1_400,.jpg,400,534,187,250,1667493210613333,1667493210,vKwZZYrOFdMNz35WDsK5XQ==,80352,0,,lolitacosplay-organization,46,11,1670815290,0.0,0.0,41.0,11.0,"[{'no': 10818978, 'now': '11/18/22(Fri)05:08:48', 'name': 'Anonymous', 'com': '<a href=""#p10818924"" class=""quotelink"">&gt;&gt;10818924</a><br>Winter is comming, freeze them to death unless you are unfortunate to live in parts of the world where zero degree is rarity or never happens', 'time': 1668766128, 'resto': 10815880}, {'no': 10818993, 'now': '11/18/22(Fri)08:55:59', 'name': 'Anonymous', 'com': '<a href=""#p10818925"" class=""quotelink"">&gt;&gt;10818925</a><br>I used to find tiny holes in my normie clothes when I would leave them out in the open, and couldn&#039;t find another reason for their sudden appearance, so now I&#039;m paranoid they&#039;ll eat through my lolita too. Thankfully, I&#039;ve never seen them in my closet or any closed off storage space, but I&#039;d rather be safe than sorry.<br><br><a href=""#p10818978"" class=""quotelink"">&gt;&gt;10818978</a><br>There&#039;s central heating where I live, so sadly I can&#039;t throw them an ice party even while I&#039;m out of the house', 'time': 1668779759, 'resto': 10815880}, {'no': 10819002, 'now': '11/18/22(Fri)10:25:56', 'name': 'Anonymous', 'com': '<a href=""#p10818978"" class=""quotelink"">&gt;&gt;10818978</a><br>great idea, anon should destroy her pipes', 'time': 1668785156, 'resto': 10815880}, {'no': 10819030, 'now': '11/18/22(Fri)12:26:42', 'name': 'Anonymous', 'com': '<a href=""#p10818924"" class=""quotelink"">&gt;&gt;10818924</a><br><a href=""#p10818925"" class=""quotelink"">&gt;&gt;10818925</a><br>Carpet beetles are such a pain. If it helps, they typically only eat organic matter. (Save cotton, never had an issue with that and resources say they usually aren&#039;t interested in cotton.) So all you have to do is keep anything made of organic materials, such as wool or a wool blend, sealed away. They will eat blends that are part synthetic part natural fibers, like acrylic/wool sweaters, so heads up on that. Garment bags or hat boxes work well and I usually stick a sachet of a natural repellent in with it (lavender is a popular one) as well as a moisture absorbing packet. They are also attracted to dust and debris that collect on the floor so frequent vacuuming helped me a ton when I lived in a building that had them.', 'time': 1668792402, 'resto': 10815880}, {'no': 10823174, 'now': '12/11/22(Sun)22:21:30', 'name': 'Anonymous', 'com': '<a href=""#p10819030"" class=""quotelink"">&gt;&gt;10819030</a><br>I just discovered two carpet beetle larvae and Google&#039;s answers were not straightforward so I have been freaking out all day, thank you for this. One of my dresses did become a victim but thankfully they spared my rare ones (for now).<br><br>I honestly don&#039;t know where to store my lolita because I live in an old southern house and have pets. My closet is too humid and small (even with a dehumidifier), clothing rack will make them susceptible to pet hair and dust, under the bed makes it easier for carpet beetles, and my dresser is already full. I feel like I have to buy an armoire but I know that&#039;s going to be a pain to move. Fml.', 'time': 1670815290, 'resto': 10815880}]",
38,10781793,,,07/02/22(Sat)19:41:19,Anonymous,Obscenity on non 18+ cons,What do you think about obscenity in cons?<br>Have you withness any?<br>Post con images that are kind of obscene.,R (13),.jpg,792,1224,161,250,1656805279325,1656805279,p/hasShiN8RAk7YWl5CBKg==,720753,0,,obscenity-on-non-18-cons,272,45,1670813584,0.0,0.0,267.0,43.0,"[{'no': 10821689, 'now': '12/02/22(Fri)10:29:37', 'name': 'Anonymous', 'com': '<a href=""#p10781830"" class=""quotelink"">&gt;&gt;10781830</a><br>I think there was a R34 of these two.', 'filename': 'mlp_fim_suits__original__by_h0neythief-d66oiar_(1)', 'ext': '.jpg', 'w': 680, 'h': 562, 'tn_w': 125, 'tn_h': 103, 'tim': 1669994977199688, 'time': 1669994977, 'md5': 'hZH35UuoQvv8xY3Q1rznMQ==', 'fsize': 72974, 'resto': 10781793}, {'no': 10822502, 'now': '12/07/22(Wed)14:02:22', 'name': 'Anonymous', 'com': '<a href=""#p10813333"" class=""quotelink"">&gt;&gt;10813333</a><br>Checked', 'time': 1670439742, 'resto': 10781793}, {'no': 10822519, 'now': '12/07/22(Wed)15:54:34', 'name': 'Anonymous', 'com': '<a href=""#p10781925"" class=""quotelink"">&gt;&gt;10781925</a><br>I don&#039;t just know, enlighten me.<br><a href=""#p10781990"" class=""quotelink"">&gt;&gt;10781990</a><br><span class=""quote"">&gt;being this fucking retarded</span>', 'time': 1670446474, 'resto': 10781793}, {'no': 10822602, 'now': '12/08/22(Thu)07:27:13', 'name': 'Anonymous', 'com': '<a href=""#p10811659"" class=""quotelink"">&gt;&gt;10811659</a>', 'filename': 'Den_C-1UYAAS1hy', 'ext': '.jpg', 'w': 750, 'h': 614, 'tn_w': 125, 'tn_h': 102, 'tim': 1670502433116868, 'time': 1670502433, 'md5': 'd91RQwZxgFrXYdIgMenK6w==', 'fsize': 90856, 'resto': 10781793}, {'no': 10823169, 'now': '12/11/22(Sun)21:53:04', 'name': 'Anonymous', 'com': '<a href=""#p10822602"" class=""quotelink"">&gt;&gt;10822602</a><br>That doesn&#039;t match the symbol on the lady&#039;s chest at all.', 'time': 1670813584, 'resto': 10781793}]",
39,10816546,,,11/07/22(Mon)04:24:42,Anonymous,Amish Lolita,"Do you dress Amish Lolita? The least hottest trend of Pensylvania, Ohio and Indiana? How are your local Amish comms doing?",amish_lolita,.jpg,339,508,166,250,1667813082477512,1667813082,RUfrOOlQNBm6COSCzOOYHA==,142905,0,,amish-lolita,26,14,1670813495,0.0,0.0,21.0,11.0,"[{'no': 10819177, 'now': '11/19/22(Sat)11:38:22', 'name': 'Anonymous', 'com': '<a href=""#p10819175"" class=""quotelink"">&gt;&gt;10819175</a>', 'filename': '1-stroj-damski_(1)_(1)_(1)', 'ext': '.jpg', 'w': 533, 'h': 800, 'tn_w': 83, 'tn_h': 125, 'tim': 1668875902742291, 'time': 1668875902, 'md5': 'g+e+PQkV3WI5SpyOqIkIQg==', 'fsize': 35472, 'resto': 10816546}, {'no': 10819180, 'now': '11/19/22(Sat)11:41:21', 'name': 'Anonymous', 'com': '<a href=""#p10819177"" class=""quotelink"">&gt;&gt;10819177</a>', 'filename': 'poland', 'ext': '.jpg', 'w': 405, 'h': 540, 'tn_w': 93, 'tn_h': 125, 'tim': 1668876081392414, 'time': 1668876081, 'md5': 'PEBMAdrq5oKmmXr3fxO7YQ==', 'fsize': 156675, 'resto': 10816546}, {'no': 10820470, 'now': '11/25/22(Fri)09:57:11', 'name': 'Anonymous', 'com': '<a href=""#p10818521"" class=""quotelink"">&gt;&gt;10818521</a><br>THEY ARE SHOWING THEIR NAKED SHIN!!!!!', 'time': 1669388231, 'resto': 10816546}, {'no': 10821636, 'now': '12/01/22(Thu)22:35:27', 'name': 'Anonymous', 'com': 'bępingójęm', 'time': 1669952127, 'resto': 10816546}, {'no': 10823167, 'now': '12/11/22(Sun)21:51:35', 'name': 'Anonymous', 'com': 'Is this some kind of inside joke or ate amish lolitas really a thing? I hope they are a thing, I love country styles and amish substyle fits my vibe', 'filename': 'img-71', 'ext': '.png', 'w': 645, 'h': 781, 'tn_w': 103, 'tn_h': 125, 'tim': 1670813495631181, 'time': 1670813495, 'md5': 'QUBza1rVvfs0Cw8Yp0jbHg==', 'fsize': 70322, 'resto': 10816546}]",
40,10823053,,,12/11/22(Sun)10:18:38,Anonymous,,"I need a baseball cap custom made, color and design. <br><br>Where should I look? China is not an option because its a singe item, not a container&#039;s worth.",m_5ac0418450687c29804cc6ae,.jpg,580,580,249,249,1670771918760831,1670771918,JHrxy68t01LBJ/P5rD0Cgw==,143150,0,,i-need-a-baseball-cap-custom-made-color-and,1,0,1670799581,0.0,0.0,,,"[{'no': 10823132, 'now': '12/11/22(Sun)17:59:41', 'name': 'Anonymous', 'com': 'Etsy', 'time': 1670799581, 'resto': 10823053}]",
41,10795308,,,08/03/22(Wed)14:13:29,Anonymous,Old School Thread,"Haven&#039;t had one of these in a while now, have we?",tumblr_60bbb3491cc49b2e73e4a8e334ddb04e_a48a7eca_1280,.jpg,1049,748,250,178,1659550409295540,1659550409,KAQ7K1Y/k+w0HH79bB7png==,155890,0,,old-school-thread,202,62,1670798735,0.0,0.0,197.0,62.0,"[{'no': 10821560, 'now': '12/01/22(Thu)14:00:51', 'name': 'Anonymous', 'com': '<a href=""#p10821537"" class=""quotelink"">&gt;&gt;10821537</a><br>Even though it&#039;s not an exact replica, I think it&#039;s shitty. La Luice isn&#039;t a dead brand with unattainable items - they still produce their rabbit bags, so it&#039;s doubly shitty to sell an obvious copy of their product while theirs is still on the market. They could&#039;ve easily created a more original design and still had people buying them.', 'time': 1669921251, 'resto': 10795308}, {'no': 10821564, 'now': '12/01/22(Thu)14:08:52', 'name': 'Anonymous', 'com': '<a href=""#p10821537"" class=""quotelink"">&gt;&gt;10821537</a><br>looks like shit', 'time': 1669921732, 'resto': 10795308}, {'no': 10823117, 'now': '12/11/22(Sun)16:04:01', 'name': 'Anonymous', 'com': '<a href=""#p10819680"" class=""quotelink"">&gt;&gt;10819680</a><br>this dress is the one I think of too.', 'time': 1670792641, 'resto': 10795308}, {'no': 10823124, 'now': '12/11/22(Sun)17:39:21', 'name': 'Anonymous', 'com': '<a href=""#p10821077"" class=""quotelink"">&gt;&gt;10821077</a><br>I wish this was me', 'time': 1670798361, 'resto': 10795308}, {'no': 10823127, 'now': '12/11/22(Sun)17:45:35', 'name': 'Anonymous', 'com': '<a href=""#p10821080"" class=""quotelink"">&gt;&gt;10821080</a><br>I love Kokusyoku Sumire, they have the best style and seem like cool and fun people irl.', 'time': 1670798735, 'resto': 10795308}]",
42,10822023,,,12/04/22(Sun)11:12:33,Anonymous,EGL general,- Are you doing something with your comm for Christmas? Share go give others ideas of fun activities <br>- Your best recent purchase. Please feel free to bragg <br>- The &quot;I lost it and it still hurts&quot; item <br>- How happy/how sad are you about your current situation in this fashion<br>- Are you already planning your wardrobe post of 2023?,tumblr_nn5k68JCVs1qbuhibo1_500,.gif,498,424,250,212,1670170353182251,1670170353,Mb4vCy1ZbT/KYXzix0k1lw==,1440202,0,,egl-general,53,1,1670785587,0.0,0.0,48.0,1.0,"[{'no': 10823019, 'now': '12/10/22(Sat)19:41:33', 'name': 'Anonymous', 'com': '<a href=""#p10822924"" class=""quotelink"">&gt;&gt;10822924</a><br>That skirt is gorgeous but whoever is doing that poor model’s makeup should consider a different career.', 'time': 1670719293, 'resto': 10822023}, {'no': 10823023, 'now': '12/10/22(Sat)20:15:02', 'name': 'Anonymous', 'com': '<a href=""#p10822821"" class=""quotelink"">&gt;&gt;10822821</a><br>Japanese brands are dying. The ones that are still around are getting shittier in quality', 'time': 1670721302, 'resto': 10822023}, {'no': 10823025, 'now': '12/10/22(Sat)20:54:06', 'name': 'Anonymous', 'com': '<a href=""#p10822924"" class=""quotelink"">&gt;&gt;10822924</a><br>Skirts havent been popular in like a decade. Classic has been doing longer stuff for like 4 years.', 'time': 1670723646, 'resto': 10822023}, {'no': 10823031, 'now': '12/10/22(Sat)22:46:43', 'name': 'Anonymous', 'com': '<a href=""#p10822924"" class=""quotelink"">&gt;&gt;10822924</a><br>Sorry this isn&#039;t related but I really like the model&#039;s legwear. What brand are they?', 'time': 1670730403, 'resto': 10822023}, {'no': 10823097, 'now': '12/11/22(Sun)14:06:27', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Are you doing something with your comm for Christmas? </span><br>We are doing a secret Santa and a group Christmas photo, I just received my SS gift and I couldn’t be happier with it, I hope whoever gets my gift likes theirs :3<br><span class=""quote"">&gt;Your best recent purchase. </span><br>I’ve been on a big no buy but received a lot more Lolita gifts than I expected for my birthday, my first Boston bag and a gorgeous metamorphose set. I have a mental list of things to get after my no buy, planning on upping my Moitie collection <br><span class=""quote"">&gt;How happy/how sad are you about your current situation in this fashion</span><br><br>I’m in the middle, I’ve come a long way with my wardrobe but being on the longest no buy I’ve ever been in and not having much time to wear the fashion has made me feel rusty in my coording skills :( I’m happy with how far I’ve come but I’m sad at my lack of ability to wear it often <br><span class=""quote"">&gt;Are you already planning your wardrobe post of 2023?</span><br>I have a lot of inspiration boards and I’m dipping my toes in a couple styles outside of my comfort zone! I hope my coords are a lot bettter next year', 'time': 1670785587, 'resto': 10822023}]",
43,10822889,,,12/10/22(Sat)00:07:10,Anonymous,Brands and releases,"Post your favorite brands, and it favorite releases from them! Could be a line or a specific release. My favorite is Angelic Pretty Melty Chocolate!",bb891434-7881-565e-80f5-d17f7ab74781,.jpg,250,333,187,249,1670648830053556,1670648830,80vLjjrT6irpvOlwjz/pZw==,18967,0,,brands-and-releases,19,9,1670786719,0.0,0.0,14.0,8.0,"[{'no': 10823037, 'now': '12/11/22(Sun)00:10:37', 'name': 'Anonymous', 'com': 'Forgot to put the image baka', 'filename': '698541', 'ext': '.jpg', 'w': 280, 'h': 373, 'tn_w': 93, 'tn_h': 125, 'tim': 1670735437097538, 'time': 1670735437, 'md5': 'DaF9BlEZhppQEScXDesbJQ==', 'fsize': 28113, 'resto': 10822889}, {'no': 10823040, 'now': '12/11/22(Sun)00:43:49', 'name': 'Anonymous', 'com': '<a href=""#p10823035"" class=""quotelink"">&gt;&gt;10823035</a><br><span class=""quote"">&gt;thights</span><br>kys esl-chan', 'time': 1670737429, 'resto': 10822889}, {'no': 10823043, 'now': '12/11/22(Sun)03:21:43', 'name': 'Anonymous', 'com': '<a href=""#p10823040"" class=""quotelink"">&gt;&gt;10823040</a><br><br>Imagine telling someone kys cause they speak more than one language <br><br>seeth harder uneducated scum', 'time': 1670746903, 'resto': 10822889}, {'no': 10823088, 'now': '12/11/22(Sun)13:24:59', 'name': 'Anonymous', 'com': '<a href=""#p10823033"" class=""quotelink"">&gt;&gt;10823033</a><br>I know, it’s just the amount of lace on that one is too gaudy for my tastes.', 'time': 1670783099, 'resto': 10822889}, {'no': 10823102, 'now': '12/11/22(Sun)14:25:19', 'name': 'Anonymous', 'com': '<a href=""#p10823088"" class=""quotelink"">&gt;&gt;10823088</a><br>nta but same, also the elasticated ruched shoulders instead of plain like in the 2003 one is not my favorite. they were so close though :(<br><a href=""#p10823040"" class=""quotelink"">&gt;&gt;10823040</a><br>hahaha take your xanax', 'time': 1670786719, 'resto': 10822889}]",
